Acronym,Meaning,Source,Source (URL),Catgories/Tags,Contact,URL Link,URL Link (URL),Notes,,Rational for what is included in Acronym List,,Tags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSSI,Pacific Salmon Strategy Initiative,DFO Wild Salmon Policy Implementation Plan - Annual Report 2020 to 2021,https://www.pac.dfo-mpo.gc.ca/fm-gp/salmon-saumon/wsp-pss/annual-annuel/2020-2021-eng.html,DFO Branch/Division/Program/Area,,Pacific Salmon Strategy Initiative | Intranet - Pacific Region (dfo-mpo.ca),https://intranet.ent.dfo-mpo.ca/pac/en/pacificsalmonstrategy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PST,Pacific Salmon Treaty,"RRAP, Reconciliation Action Plan List of Acronyms ",https://intranet.ent.dfo-mpo.ca/pac/en/node/2108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R&P,Reconciliation & Partnerships Branch,"RRAP, Reconciliation Action Plan List of Acronyms ",https://intranet.ent.dfo-mpo.ca/pac/en/node/2108,DFO Branch/Division/Program/Area,,Reconciliation and Partnerships | Intranet - Pacific Region (dfo-mpo.ca),https://intranet.ent.dfo-mpo.ca/pac/en/reconciliation-partnerships,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R2R ,Road to Results,Erin Morgan's List of Acronyms ,../../../../../../../../../:x:/r/sites/PacificSalmonTeam/Shared Documents/General/02 - PSSI Secretariat Teams/01 - Salmon Program Implementation and Performance/Acronyms.xlsx?d=w4ff3ea052fc849b78a6031d32f42eb17&csf=1&web=1&e=MrXHRG,DFO Branch/Division/Program/Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAMS,Risk Assessment Method for Salmon,DFO Wild Salmon Policy Implementation Plan - Annual Report 2020 to 2021,https://www.pac.dfo-mpo.gc.ca/fm-gp/salmon-saumon/wsp-pss/annual-annuel/2020-2021-eng.html,Environmental/Science Terminology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RCC,Reconciliation Coordinating Committee,"RRAP, Reconciliation Action Plan List of Acronyms ",https://intranet.ent.dfo-mpo.ca/pac/en/node/2108,Pacific Region Committees ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RD,Regional Director,"RRAP, Reconciliation Action Plan List of Acronyms ",https://intranet.ent.dfo-mpo.ca/pac/en/node/2108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RDG,Regional Director General,"RRAP, Reconciliation Action Plan List of Acronyms ",https://intranet.ent.dfo-mpo.ca/pac/en/node/2108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REF_DIFF,Reference Data Repository Comparison process,Pacific Region Data Inventory ,,Pacific Region Database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REFDATA,Reference Data System,Pacific Region Data Inventory ,,Pacific Region Database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RFA,Reconciliation Framework Agreement ,"RRAP, Reconciliation Action Plan List of Acronyms ",https://intranet.ent.dfo-mpo.ca/pac/en/node/2108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RHQ,Regional Headquarters,"RRAP, Reconciliation Action Plan List of Acronyms ",https://intranet.ent.dfo-mpo.ca/pac/en/node/2108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIRSD,Recognition of Indigenous Rights and Self-Determination,"RRAP, Reconciliation Action Plan List of Acronyms ",https://intranet.ent.dfo-mpo.ca/pac/en/node/2108,Indigenous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMC,Regional Management Committee,DFO Pacific Region Committees ,https://intranet.ent.dfo-mpo.ca/pac/en/pac-committees,Pacific Region Committees ,Sandra Yuen,Regional management committee | Intranet - Pacific Region (dfo-mpo.ca),https://intranet.ent.dfo-mpo.ca/pac/en/executive-xchange/rmc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RPA,Recovery Potential Assessment,DFO Wild Salmon Policy Implementation Plan - Annual Report 2020 to 2021,https://www.pac.dfo-mpo.gc.ca/fm-gp/salmon-saumon/wsp-pss/annual-annuel/2020-2021-eng.html,Environmental/Science Terminology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RPSS,Real Property and Safety & Security  ,"RRAP, Reconciliation Action Plan List of Acronyms ",https://intranet.ent.dfo-mpo.ca/pac/en/node/2108,DFO Branch/Division/Program/Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RRAP,Pacific Regional Reconciliation Action Plan ,"RRAP, Reconciliation Action Plan List of Acronyms ",https://intranet.ent.dfo-mpo.ca/pac/en/node/2108,Indigenous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RRP,Regional Response Planning,Spill Response Plan (SRP) Glossary of Terms and Acronyms ,SRP Appendix 14 - Glossary of terms and acronyms | Intranet - Pacific Region (dfo-mpo.ca),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAP,Salmon Allocation Policy ,"RRAP, Reconciliation Action Plan List of Acronyms ",https://intranet.ent.dfo-mpo.ca/pac/en/node/2108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAR,"Species at Risk; or, Search and Rescue","RRAP, Reconciliation Action Plan List of Acronyms ",https://intranet.ent.dfo-mpo.ca/pac/en/node/2108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SARA,Species at Risk Act,Spill Response Plan (SRP) Glossary of Terms and Acronyms ,SRP Appendix 14 - Glossary of terms and acronyms | Intranet - Pacific Region (dfo-mpo.ca),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SARP,Species at Risk Program,"RRAP, Reconciliation Action Plan List of Acronyms ",https://intranet.ent.dfo-mpo.ca/pac/en/node/2108,DFO Branch/Division/Program/Area,,Species at risk - Canada.ca,https://www.canada.ca/en/services/environment/wildlife-plants-species/species-risk.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCA,South Coast Area,"RRAP, Reconciliation Action Plan List of Acronyms ",https://intranet.ent.dfo-mpo.ca/pac/en/node/2108,DFO Branch/Division/Program/Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCAT,Shoreline Clean-Up Assessment Technique,Spill Response Plan (SRP) Glossary of Terms and Acronyms ,SRP Appendix 14 - Glossary of terms and acronyms | Intranet - Pacific Region (dfo-mpo.ca),Environmental/Science Terminology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCH,Small Craft Harbour,"RRAP, Reconciliation Action Plan List of Acronyms ",https://intranet.ent.dfo-mpo.ca/pac/en/node/2108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDC,Strategic Directions Committee,DFO Pacific Region Committees ,https://intranet.ent.dfo-mpo.ca/pac/en/pac-committees,Pacific Region Committees ,Sandra Yuen,Strategic direction committee | Intranet - Pacific Region (dfo-mpo.ca),https://intranet.ent.dfo-mpo.ca/pac/en/node/1471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDC,Strategic Salmon Directions Committee,DFO Pacific Region Committees ,https://intranet.ent.dfo-mpo.ca/pac/en/pac-committees,Pacific Region Committees ,Jennifer Nener,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA,Socio-Economic Analysis,"RRAP, Reconciliation Action Plan List of Acronyms ",https://intranet.ent.dfo-mpo.ca/pac/en/node/2108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEG,Sustainable Escapement Goal,IFMP Southern Pacific Salmon 2022 - Glossary and List of Acronyms ,https://waves-vagues.dfo-mpo.gc.ca/library-bibliotheque/4106110x.pdf,Environmental/Science Terminology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEP,Salmonid Enhancement Program,"RRAP, Reconciliation Action Plan List of Acronyms ",https://intranet.ent.dfo-mpo.ca/pac/en/node/2108,DFO Branch/Division/Program/Area,,Salmonid Enhancement Program | Pacific Region | Fisheries and Oceans Canada (dfo-mpo.gc.ca),https://www.pac.dfo-mpo.gc.ca/sep-pmvs/index-eng.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SFAB,Sport Fishing Advisory Board,Spill Response Plan (SRP) Glossary of Terms and Acronyms ,SRP Appendix 14 - Glossary of terms and acronyms | Intranet - Pacific Region (dfo-mpo.ca),External Committee/Board/Panel etc.,,Sport Fishing Advisory Board | Pacific Region | Fisheries and Oceans Canada (dfo-mpo.gc.ca),https://www.pac.dfo-mpo.gc.ca/consultation/smon/sfab-ccps/index-eng.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SFAC,Sport Fishing Advisory Committee,Spill Response Plan (SRP) Glossary of Terms and Acronyms ,SRP Appendix 14 - Glossary of terms and acronyms | Intranet - Pacific Region (dfo-mpo.ca),External Committee/Board/Panel etc.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SFNTC,Skeena First Nation Technical Committee  ,"RRAP, Reconciliation Action Plan List of Acronyms ",https://intranet.ent.dfo-mpo.ca/pac/en/node/2108,Indigenous,,Skeena First Nations technical committee | First Nations Fisheries Council (fnfisheriescouncil.ca),https://www.fnfisheriescouncil.ca/program/skeena-first-nations-technical-committee/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SGEN,Spawner abundance required to get to SMSY in 1 generation,IFMP Southern Pacific Salmon 2022 - Glossary and List of Acronyms ,https://waves-vagues.dfo-mpo.gc.ca/library-bibliotheque/4106110x.pdf,Environmental/Science Terminology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHMF,Selective Hatchery Mark Fishery,IFMP Southern Pacific Salmon 2022 - Glossary and List of Acronyms ,https://waves-vagues.dfo-mpo.gc.ca/library-bibliotheque/4106110x.pdf,Environmental/Science Terminology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SME,Subject Matter Expert,"RRAP, Reconciliation Action Plan List of Acronyms ",https://intranet.ent.dfo-mpo.ca/pac/en/node/2108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMSY,Spawners at Maximum Sustainable Yield,IFMP Southern Pacific Salmon 2022 - Glossary and List of Acronyms ,https://waves-vagues.dfo-mpo.gc.ca/library-bibliotheque/4106110x.pdf,Environmental/Science Terminology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMU,Stock Management Unit,DFO Wild Salmon Policy Implementation Plan - Annual Report 2020 to 2021,https://www.pac.dfo-mpo.gc.ca/fm-gp/salmon-saumon/wsp-pss/annual-annuel/2020-2021-eng.html,Environmental/Science Terminology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SoG ,Strait of Georgia,DFO Science Onboarding Handbook ,../../../../../../../../../:b:/r/sites/PacificSalmonTeam/Shared Documents/General/02 - PSSI Secretariat Teams/04 - Strategic Salmon Data Policy and Analytics/03 - Admin/01 - Staff Orientation/1. Onboarding_Handbook_IOS_2022.pdf?csf=1&web=1&e=XOfGGv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOPO,State of the Pacific Ocean ,"RRAP, Reconciliation Action Plan List of Acronyms ",https://intranet.ent.dfo-mpo.ca/pac/en/node/2108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SoS ,State of Salmon,DFO Science Onboarding Handbook ,../../../../../../../../../:b:/r/sites/PacificSalmonTeam/Shared Documents/General/02 - PSSI Secretariat Teams/04 - Strategic Salmon Data Policy and Analytics/03 - Admin/01 - Staff Orientation/1. Onboarding_Handbook_IOS_2022.pdf?csf=1&web=1&e=XOfGGv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPA,Scale Patterns Analysis,Pacific Salmon - Glossary,https://www.pac.dfo-mpo.gc.ca/fm-gp/salmon-saumon/gloss-eng.html,Environmental/Science Terminology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPERA ,Strategic Program for Ecosystem-based Research and Advice,DFO Science Onboarding Handbook ,../../../../../../../../../:b:/r/sites/PacificSalmonTeam/Shared Documents/General/02 - PSSI Secretariat Teams/04 - Strategic Salmon Data Policy and Analytics/03 - Admin/01 - Staff Orientation/1. Onboarding_Handbook_IOS_2022.pdf?csf=1&web=1&e=XOfGGv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPPCU,Strategic Partnerships and Program Coordination Unit ,"RRAP, Reconciliation Action Plan List of Acronyms ",https://intranet.ent.dfo-mpo.ca/pac/en/node/2108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPU,Strategic Planning Unit ,"RRAP, Reconciliation Action Plan List of Acronyms ",https://intranet.ent.dfo-mpo.ca/pac/en/node/2108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRKW,Southern Resident Killer Whales,"RRAP, Reconciliation Action Plan List of Acronyms ",https://intranet.ent.dfo-mpo.ca/pac/en/node/2108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRP,Spill Response Plan,Spill Response Plan (SRP) Glossary of Terms and Acronyms ,SRP Appendix 14 - Glossary of terms and acronyms | Intranet - Pacific Region (dfo-mpo.ca),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SSI,"Salish Sea Initiative; or, Strategic Science Initiatives ","RRAP, Reconciliation Action Plan List of Acronyms ",https://intranet.ent.dfo-mpo.ca/pac/en/node/2108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StAR,Stock Assessment and Research,"RRAP, Reconciliation Action Plan List of Acronyms ",https://intranet.ent.dfo-mpo.ca/pac/en/node/2108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAC,Total Allowable Catch,"RRAP, Reconciliation Action Plan List of Acronyms ",https://intranet.ent.dfo-mpo.ca/pac/en/node/2108,Environmental/Science Terminology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAM,Total Allowable Mortality,IFMP Southern Pacific Salmon 2022 - Glossary and List of Acronyms ,https://waves-vagues.dfo-mpo.gc.ca/library-bibliotheque/4106110x.pdf,Environmental/Science Terminology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TBS ,Treasury Board of Canada Secretariat,DFO Science Onboarding Handbook ,../../../../../../../../../:b:/r/sites/PacificSalmonTeam/Shared Documents/General/02 - PSSI Secretariat Teams/04 - Strategic Salmon Data Policy and Analytics/03 - Admin/01 - Staff Orientation/1. Onboarding_Handbook_IOS_2022.pdf?csf=1&web=1&e=XOfGGv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRC,Truth and Reconciliation Commission,"RRAP, Reconciliation Action Plan List of Acronyms ",https://intranet.ent.dfo-mpo.ca/pac/en/node/2108,Indigenous,,Truth and Reconciliation Commission of Canada - NCTR,https://nctr.ca/about/history-of-the-trc/truth-and-reconciliation-commission-of-canada/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNDRIP,United Nations Declaration on the Rights of Indigenous Peoples ,"RRAP, Reconciliation Action Plan List of Acronyms ",https://intranet.ent.dfo-mpo.ca/pac/en/node/2108,Indigenous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VEC ,Valued Ecosystem Components,DFO Science Onboarding Handbook ,../../../../../../../../../:b:/r/sites/PacificSalmonTeam/Shared Documents/General/02 - PSSI Secretariat Teams/04 - Strategic Salmon Data Policy and Analytics/03 - Admin/01 - Staff Orientation/1. Onboarding_Handbook_IOS_2022.pdf?csf=1&web=1&e=XOfGGv,Environmental/Science Terminology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WCVI,West Coast Vancouver Island,"RRAP, Reconciliation Action Plan List of Acronyms ",https://intranet.ent.dfo-mpo.ca/pac/en/node/2108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WSP,Wild Salmon Policy,DFO Wild Salmon Policy Implementation Plan - Annual Report 2020 to 2021,https://www.pac.dfo-mpo.gc.ca/fm-gp/salmon-saumon/wsp-pss/annual-annuel/2020-2021-eng.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YSC,Yukon Salmon Sub-Committee ,Pacific Salmon - Glossary,https://www.pac.dfo-mpo.gc.ca/fm-gp/salmon-saumon/gloss-eng.html,External Committee/Board/Panel etc.,,Yukon Salmon Sub-Committee | Yukon Salmon Sub-Committee (yssc.ca),https://yssc.ca/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YSRA,Yukon River Salmon Agreement,Pacific Salmon - Glossary,https://www.pac.dfo-mpo.gc.ca/fm-gp/salmon-saumon/gloss-eng.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YTRA,Yukon Transboundary Rivers Area,"RRAP, Reconciliation Action Plan List of Acronyms ",https://intranet.ent.dfo-mpo.ca/pac/en/node/2108,DFO Branch/Division/Program/Area,,Yukon Transboundary fisheries | Pacific Region | Fisheries and Oceans Canada (dfo-mpo.gc.ca),https://www.pac.dfo-mpo.gc.ca/yukon/index-eng.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
