Inventory_ID,Approved_By,Data_Asset_Name,Data_Asset_Steward,Data_Asset_Sorting_Category,Operational_Or_Analytical_Data,Data_Asset_Acronym,Data_Asset_Description,APM_ID,Non_Salmon_Data,Data_Asset_Status,Data_Asset_Format,Data_Type,Data_Asset_Location,Data_Asset_Trustee,Data_Asset_Custodian,Application_Data_Asset_Is_Associated_With,Application_Description,Technical_Documentation,Access_Point,Policy_Levers_Data_Asset_Supports,Key_Decisions,Impact_to_DFO_Data_Consumers,Decision_Supporting_Key_Products,Impact_on_Decision_Making,Uniqueness,Cost,Data_Asset_Size,Update_Frequency,Data_Standards,Metadata_Maturity,Data_Quality_Rating,Naming_Conventions,Security_Classification,Inbound_Data_Linkage,Outbound_Data_Linkage,Publication_Status,,,,,,,,,,,,,,,,,
116,,West Coast Haida Gwaii Synoptic Bottom Trawl Survey.,"Cornthwaite, Maria (Main Contact for groundfish databases)
Haggarty, Dana (Groundfish)
Hamilton, Shelee (SDC, Fishery and Assessment Data)",1,,,"Catch, effort, location (latitude, longitude), relative abundance indices, and associated biological data from groundfish multi-species bottom trawl surveys in West Coast Haida Gwaii. Introduction - The West Coast Haida Gwaii (WCHG) synoptic bottom trawl survey was first conducted annually from 2006 to 2008 and has since been repeated every second year on even numbered years. This survey is one of a set of long-term and coordinated surveys that together cover the continental shelf and upper slope of most of the British Columbia coast. The other surveys are the Queen Charlotte Sound (QCS) survey, the Hecate Strait (HS) survey, the West Coast Vancouver Island (WCVI) survey, and the Strait of Georgia (SOG) survey. The objectives of these surveys are to provide fishery independent abundance indices of all demersal fish species available to bottom trawling and to collect biological samples of selected species. The survey follows a random depth-stratified design and the sampling units are 2 km by 2 km blocks. The synoptic bottom trawl surveys are conducted by Fisheries and Oceans Canada (DFO) in collaboration with the Canadian Groundfish Research and Conservation Society (CGRCS), a non-profit society composed of participants in the British Columbia commercial groundfish trawl fishery. The Queen Charlotte Sound and West Coast Haida Gwaii surveys are conducted under collaborative agreements, with the CGRCS providing chartered commercial fishing vessels and field technicians, while DFO provides in-kind contributions for running the surveys including personnel and equipment. The Hecate Strait, West Coast Vancouver Island, and Strait of Georgia surveys are conducted by DFO and have typically taken place on the Canadian Coast Guard research vessel W.E. Ricker. In years when the W.E. Ricker has not been available, the Hecate Strait and West Coast Vancouver Island surveys have taken place on chartered industry vessels. Effort - This table contains information about the survey trips and fishing events (trawl tows/sets) that are part of this survey series. Trip-level information includes the year the survey took place, a unique trip identifier, the vessel that conducted the survey, and the trip start and end dates (the dates the vessel was away from the dock conducting the survey). Set-level information includes the date, time, location, and depth that fishing took place, as well as information that can be used to calculate fishing effort (duration) and swept area. All successful fishing events are included, regardless of what was caught. Catch - This table contains the catch information from successful fishing events. Catches are identified to species or to the lowest taxonomic level possible. Most catches are weighed, but some are too small (“trace” amounts) or too large (e.g. very large Big Skate). The unique trip identifier and set number are included so that catches can be related to the fishing event information (including capture location). Biology - This table contains the available biological data for catches which were sampled. Data may include any or all of length, sex, weight, age. Different length types are measured depending on the species. Age structures are collected when possible for species where validated aging methods exist and are archived until required for an assessment; therefore, all existing structures have not been aged at this time. The unique trip identifier and set number are included so that samples can be related to the fishing event and catch information. Biomass - This table contains relative biomass indices of species that have been captured in every survey of the time series. The coefficient of variation and bootstrapped 95% confidence intervals are provided for each index. The report on the 2012 Strait of Georgia Survey (King et al. 2013) provides an explanation of how the relative indices are derived. Note that we do not calculate a biomass index for the 2014 West Coast Haida Gwaii survey, as this survey was incomplete due to operational problems.",,,,Oracle database,,DFO Server,Ecosystems and Ocean Science,,,,,,,,,,,,,,Annually,,,,,,,,"Yes, Open Data",,,,,,,,,,,,,,,,,
44,,FSC Standalone Database (Now AHMS),"Rushton, Aleta",1,Operational,n/a,Now known as the Aboriginal Harvest Management System (AHMS). AHMS is a remote data collection system and is a component of the KREST platform. SQLite being converted to PostgreSQL; custom design,,Yes,Decommissioned,SQLite ,Structured,DFO Server,,,Kept and Released Estimation Survey Tool - KREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,,PacSearch - Licensing Data Portal and Vessel Hail in/Hail out Reporting,"Daniel Mah, A/ Manager of Commercial and Aquaculture Licensing Unit, Business Client Services",1,Operational,PACSEARCH,"A reporting tool used by the Fisheries Management and C&P to search against licensing data, vessel activity and recreational fishing licensing. This application does not have its own data. This application is a tool that searches a variaety of different datasets ",1013,Yes,Production,Oracle database,Structured,DFO Server,FM - Integrated Fisheries Data,"Yu, Faith","Fishery Operations System - FOS
Pacific Licensing System - PLS
National Recreational Licensing System - NRLS",Same as db compenent,,http://paccfprodin/pacsearch/index.cfm?pg=home,Harvest - Multiple,"Used in fisheries management licensing services, to determine eligibility, alongside PLS. Additionally used for retrieval of documentation for legal purposes/regulations violations. ","Fisheries Management - C&P, PFLU","Active Fishing Vessel Reports Process - ACTIVE_FISHING
Vessel Hails/Broadcasts daily reports on which fishing vessels in the Pacific fleet are currently carrying out fishing activities. Used largely by C&P.","Waiting on number from Daniel - data would not be lost, retrieval methods would be more difficult however. 
*could not meet legal standards for data retrevial to support C&P and regulations unit etc.",Yes,,N/A (this aplpiation is a reporting tool that searches multiple other datasets),Real-time,Yes,Yes,High,Yes,Protected B,"PLS, NSLIS, FOS, NRLS, PACADMIN",N/A,No,,,,,,,,,,,,,,,,,
,,"Fishery Operations Systems - First Nations catch (FSC, EO/DEMO, Treaty)","Hamilton, Shelee (SDC)
Burnett, Karen (SDC Alternate)",1,,FOS,Storage of final catch estimates by communal licence for fisheries in the Lower Fraser River.  KREST cannot store the information in this format currently and likely never will be able to.,,yes,Production,Oracle Database,,DFO Server,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,DFO Observer Logs database,"Burnett, Karen ",1,Both,no,MS Access database used to store observations made by DFO technicians during fishery monitoring vessel and vehicle patrols.  Used as a record to corroborate information collected/disseminated during fisheries and to compile preliminary catch estimates when needed during an open/recently closed fishery.,,Yes,Production,MS Access,Structured,Desktop/Shared Drive,Fraser and Interior Area Resource Management,"Burnett, Karen",no,n/a,no,"shared drive - restricted access, anyone who has access to Fraser River Catch Monitoring Shared drive",Harvest - Indigenous,"In season catch estimation
Supports operations for team - Comparing data to previous years (outliers) ",FIA Resource Managers and Biologists,no,20,No,"1,000",3876kb,Weekly,Yes,No,Medium,Yes,Protected A,no,no,no ,,,,,,,,,,,,,,,,,
,,Tyee Test Fishery,Jessica Ottley,1,Analytical,n/a,MS Access database used to store bio sample metadata collected from the Tyee Test Fishery. Data coordinated with genetics lab work (MGL and Scale Lab). ,,No,Production,MS Access,Structured,Desktop/Shared Drive,North Coast Stock Assessment,Jessica Ottley,Tyee Test Fishery Database,n/a,"Limited, may be some informal instructions",Access via shared drive,Harvest - Multiple,"Decisions for allowable TACs (allocations)
Other decisions specific to biodata to be completed","Stock assessment division, resource management",Stock Status Reports,60-70,Yes,0.1,0.06,weekly,Yes,No,Medium,No,Unclassified,N/A,"FOS - biodata entered into FOS (incomplete data, working on making it a more complete dataset)
PADS Aging Lab & MGL Lab use biodata - not directlly linked to PADS, access data through an exported spreadsheet",N/A  ,,,,,,,,,,,,,,,,,
,,Stream Esc Database,Jessica Ottley,1,Analytical,Not available,MS Access database that contains stream inspection log data and annual estimates from the North Coast (areas 1-10),,Yes,Production,MS Access,Structured,Desktop/Shared Drive,North Coast Stock Assessment,Jessica Ottley,NuSEDS,,"Some user guides; in process of developing formal manuals, workflow etc.
Update: draft workflows now in production, yet to be finalized",Access via shared drive,Conservation & Stewardship - Multiple,"Forecasting, allocations","Stock assessment division, resource management","IFMP and related documents, Stock Status Reports",40 - 60,No,0.1,0.082,annually,Yes,No,Medium,No,Unclassified,N/A,PADS ,N/A NuSEDS publishes,,,,,,,,,,,,,,,,,
,,Juvenile salmon database,,1,,,MS Access database contains chinook and coho juvenile stream abundance infomation,,,Decommissioned,MS Access,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Stream Narrative database,"Kayla Suhan, Kenneth Fong",1,,,"Stream location, navigation and salmon spawning information",,,Decommissioned,MS Access,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,OtoManager: Otolith Online Manager and Otolith Laboratory Reader,Aswea Porter and SEP (TBA) ,1,Both,OTOLITH_ONLINE and OTOLITH_LAB,"Otolith Manager is the Pacific Region’s centralized Oracle database that holds adult and juvenile salmon thermal mark results (reads) of processed otoliths recovered from commercial, sport, First Nation, and escapement biological sampling. The database also stores juvenile salmon thermal mark results of processed otoliths from release reference samples. Metadata describing each bio sample is also available. Associated scale age data is related to these reads by scale book and scale number. These age results can be retrieved from PADS with a specific read result via the online tool Otolith – Home.
Requires further discussion on future development to upgrade legacy database into modern IM/TS supported asset. Asset has no active developer. Open Data ID ODI-2017-0577",1102 and 1103,No,Production,Oracle database,Structured,DFO Server,Science Branch - South Coast Stock AssessmentEcosystems and Fisheries Management,"Porter, Aswea 
Rechisky, ErinFong, Kenneth / ","1. Otolith Online Manager - OTOLITH_ONLINE APM 1103
2. Otolith Laboratory Reader - OTOLITH_LAB APM 1102","1. Same as db description
2. Data entry application used by laboratory staff during reading of salmon otoliths for stock ID mass mark applications.",Thermal mark manual v1.1.doc,windows executable; http://devios-intra.dfo-mpo.gc.ca/Otolith/,Harvest - Multiple,Exploitation rate analysis and stock composition to support and assess harvest opportunities,"SEP, South Coast Stock Assessement, Yukon Stock Assessement, Thermal Mark Program","stock composition, hatchery wild ratios (PNI)",Not replaceable,No,Not replaceable,"10
(select owner, sum(bytes)/1024/1024 Size_MB from dba_segments
where owner = 'OTOLITH_V1'
group  by owner;)",Daily,Yes,Yes,High,Yes,Unclassified,"Pacific Age Database System - PADS, NPAFC thermal marking database",CREST,"NPAFC reports, Open Data",,,,,,,,,,,,,,,,,
,,Fraser Sockeye Escapement database,Tracy Cone (SDC),1,,,"MS Access database of all years of Fraser Sockeye escapement; used to produce annual NuSEDS upload files, feeds into Fraser Sockeye forecasting analysis, Pacific Salmon Commission production and run size adjustment datasets, and into internal Fraser Fisheries Management cycle year datasets",,Yes,,,,,,,,,,,,,,"1. Fraser Sockeye forecasting analysis 
2. Pacific Salmon Commission production and run size adjustment datasets",,,,,,,,,,,,"Pacific Salmon Comission
NuSEDS",,,,,,,,,,,,,,,,,,
,,High Seas Salmon Surveys ,"King, Jackie",1,,,"Currently Access database holding juvenile salmon surveys catch and biosample data from locations other than Strait of Georgia. 
High Seas is a legacy program, what the program used to be called.",,,,MS Access,Structured,Desktop/Shared Drive,,,n/a ,n/a ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Salmon ITQ - Area F,"Fairweather, Patrick",1,Operational,,"Salmon Shares Database - Calculate and documents transfers of individual transfer quota (ITQ) for salmon fisheries for Areas: F (chinook fisheries); with C & D set up however not actively used. 
Additional information stored in a seperate database but used to manage ITQ fisheries: Dockside Monitoring (including area specific catch) Program information (of 3rd party service provider); vessel/licence information; catch and anticipated encounter rates for incidental catch. Provides a licence amendment.
Types of data: Species, Location, Abundance, Environmental Conditions, Water Quality, Conservation Units",N/A,No,Production,MS Access,Structured,Desktop/Shared Drive,Fisheries Management,"Garard, Scott (contractor)",No,N/A,"Installation instructions, may be old user ID and passwords",Run on local workstation and data backed up to shared drive,Harvest - Commercial,Used manage the ITQ fisheries.,Fisheries Management,Operational reports stored within access database that show licensee over quota etc.,100,No,N/A,0.2,Real-time,Yes,No,High,Yes,Protected A,"FOS_Hail, PLS (manual)",No,No,,,,,,,,,,,,,,,,,
,,Pacific Region Salmon G&C Metadata Database,"Mahony, Amelia",1,Analytical,,Pacific region application for recording salmon G&C science project metadata (2018+),,No,Indevelopment,DMApps,Structured,Cloud-Server,Science,,Pacific Region Salmon G&C Metadata Database,,,G&C (dfo-mpo.gc.ca),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,,Strait of Georgia Synoptic Bottom Trawl Survey.,"Cornthwaite, Maria (Main Contact for groundfish databases)
Haggarty, Dana (Groundfish)
Hamilton, Shelee (SDC, Fishery and Assessment Data)",1,,,"Open Data ID ODI 2018-0190. Catch, effort, location (latitude, longitude), relative abundance indices, and associated biological data from groundfish multi-species bottom trawl surveys in Strait of Georgia. Introduction - The Strait of Georgia (SOG) synoptic bottom trawl survey was conducted in 2012 and 2015. This survey is one of a set of long-term and coordinated surveys that together cover the continental shelf and upper slope of most of the British Columbia coast. The other surveys are the Queen Charlotte Sound (QCS) survey, the Hecate Strait (HS) survey, the West Coast Vancouver Island (WCVI) survey and the West Coast Haida Gwaii (WCHG) survey. The objectives of these surveys are to provide fishery independent abundance indices of all demersal fish species available to bottom trawling and to collect biological samples of selected species. The surveys follow a random depth-stratified design and the sampling units are 2 km by 2 km blocks. The synoptic bottom trawl surveys are conducted by Fisheries and Oceans Canada (DFO) in collaboration with the Canadian Groundfish Research and Conservation Society (CGRCS), a non-profit society composed of participants in the British Columbia commercial groundfish trawl fishery. The Queen Charlotte Sound and West Coast Haida Gwaii surveys are conducted under collaborative agreements, with the CGRCS providing chartered commercial fishing vessels and field technicians, while DFO provides in-kind contributions for running the surveys including personnel and equipment. The Hecate Strait, West Coast Vancouver Island, and Strait of Georgia surveys are conducted by DFO and have typically taken place on the Canadian Coast Guard research vessel W.E. Ricker. In years when the W.E. Ricker has not been available, the Hecate Strait and West Coast Vancouver Island surveys have taken place on chartered industry vessels. Effort  - This table contains information about the survey trips and fishing events (trawl tows/sets) that are part of this survey series. Trip-level information includes the year the survey took place, a unique trip identifier, the vessel that conducted the survey, and the trip start and end dates (the dates the vessel was away from the dock conducting the survey). Set-level information includes the date, time, location, and depth that fishing took place, as well as information that can be used to calculate fishing effort (duration) and swept area. All successful fishing events are included, regardless of what was caught. Catch - This table contains the catch information from successful fishing events. Catches are identified to species or to the lowest taxonomic level possible. Most catches are weighed, but some are too small (“trace” amounts) or too large (e.g. very large Big Skate). The unique trip identifier and set number are included so that catches can be related to the fishing event information (including capture location). Biology - This table contains the available biological data for catches which were sampled. Data may include any or all of length, sex, weight, age. Different length types are measured depending on the species. Age structures are collected when possible for species where validated aging methods exist and are archived until required for an assessment; therefore, all existing structures have not been aged at this time. The unique trip identifier and set number are included so that samples can be related to the fishing event and catch information. Biomass - This table contains relative biomass indices of species that have been captured in every survey of the time series. The coefficient of variation and bootstrapped 95% confidence intervals are provided for each index. The report on the 2012 Strait of Georgia Survey (King et al. 2013) provides an explanation of how the relative indices are derived.",,,,Oracle database,,DFO Server,Ecosystems and Ocean Science,,,,,,,,,,,,,,Annually,,,,,,,,"Yes, Open Data",,,,,,,,,,,,,,,,,
,,West Coast Vancouver Island Synoptic Bottom Trawl Survey,"Cornthwaite, Maria (Main Contact for groundfish databases)
Haggarty, Dana (Groundfish)
Hamilton, Shelee (SDC, Fishery and Assessment Data)",1,,,"Catch, effort, location (latitude, longitude), relative abundance indices, and associated biological data from groundfish multi-species bottom trawl surveys in West Coast Vancouver Island.  Introduction - The West Coast Vancouver Island (WCVI) synoptic bottom trawl survey was first conducted in 2004, and has been repeated every second year since. This survey is one of a set of long-term and coordinated surveys that together cover the continental shelf and upper slope of most of the British Columbia coast. The other surveys are the Queen Charlotte Sound (QCS) survey, the Hecate Strait (HS) survey, the West Coast Haida Gwaii (WCHG) survey, and the Strait of Georgia (SOG) survey.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes, Open Data",,,,,,,,,,,,,,,,,
,,Canadian Fisheries Fund Information Storage Hub,"Chang, Raymond ",1,Both,CFFISH,The Canadian Fisheries Fund Information Storage Hub is a file management information system used by G&C programs (upcoming in BCSRIF's example) to accurately record application and agreements data (among others related) for the purposes of Proactive Disclosure.,,Yes,Indevelopment,MS Dynamics 365,Structured,Cloud-Server,BCSRIF,Raymond Chang,No,N/A,Various operating manuals (locally made),https://gcsc-dfo-mpo.gccas-gccase.gc.ca/,Integration - Multiple,Determining which applications to recommend to MINO for approval,BCSRIF,None,50%,Yes,0.5,2,Daily,Yes,No,High,Yes,Protected B,None,None,No,,,,,,,,,,,,,,,,,
,,Otolith Thermal Mark,"Aswea Porter, Kris Hein (maybe)",1,,OTOMGR,,,,,,,,,"Aswea Porter, Kris Hein (maybe)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Salmon Biological Traits ,"Wilf Luedke, Kris Hein",1,,,System currently in development for the recording of salmon biological traits data across various work units in Pacific region,,,Decommissioned,,,,,"Wilf Luedke, Kris Hein",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,AHEAD,"
O'Grady, Chris
Sandberg, Krista",1,,AHEAD,AHEAD will replace FHAS and better integrate analytical reporting.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Salmon Shares - First Nations Demonstration Fisheries,"Li, Ge",1,Analytical,N/A,Salmon Shares Databased - Calculate and documents shares associated with DFO inventory licences used for FN demonstration fisheries. Also stores information on commercial salmon sharing arrangements by area. ,N/A,No,Production,MS Access,Structured,Desktop/Shared Drive,Fisheries Management,"Garard, Scott (contractor)",MS Access,N/A,User guidance document,Run on local workstation and data backed up to shared drive,Harvest - Commercial,Used to track shares for FN demonstration fisheries,Fisheries Management,Operational reports stored within access database that show shares available and distribution.,10,Yes,N/A,0.004,Annually,Yes,No,Medium,Yes,Protected A,PacFish (manual),No,No,,,,,,,,,,,,,,,,,
,,"Dockside Monitoring Program - Areas B,H and A and F","Wanless, Madeline (Areas B & H)
Lord, Karlena Area A
Fairweather, Patrick Area F",1,Operational,DMP,"Catch data captured in Dockside Monitoring Programs by outside contractor.  Data captured includes: vessel, landing location, landing date & time, species, pieces, etc.",n/a,No,Production,MS Access,Structured,Desktop/Shared Drive,Fisheries Management,"Wanless, Madeline (Areas B & H)
Lord, Karlena Area A
Fairweather, Patrick Area F",n/a,"Purpose is to capture DMP catch information for Salmon ITQ fisheries.  The ITQ applications that access the DMP are the ones referenced in rows 50, 51 and 64.  The DMP database is populated by the outside contractor and then uploaded to a shared folder on the DFO network.  From there it can be accessed directly by the ITQ applications.  So that access is programmatic, not manual.  ITQ database Application uses this DMP information to determine catch a Licence has retained.  The retained catch is compared to their quota holdings to determine their remaining quota, overage situation and quota transferabilty rules.  ","Limited to installation guide, user IDs and Passwords",MS Access on Workstation,Harvest - Commercial,Management of the Salmon ITQ Fisheries,Fisheries Management,n/a,100,No,,0.010 to 0.015 GB,Real-time,Yes,No,High,Yes,Protected A,n/a,FOS (manually),No,,,,,,,,,,,,,,,,,
84,,"Productivity (Recruits-per-Spawner) data for Sockeye, Pink, and Chum Salmon from British Columbia","Anthony, Annette
Baxter, Bruce",2,Analytical,,"No published to the FGP; published in Open Data ID ODI-2016-0019
We assembled productivity (i.e. recruits per spawner) estimates for British Columbian Sockeye, Pink, and Chum Salmon. Annual estimates, by brood year, of spawner numbers, catch, and population and age composition were obtained from regional experts and organized in a simple database. Time series were organized by species and biological or spatial unit (Conservation Unit, Pacific Fisheries Management Area, or aggregates of these). Data quality criteria that delineated three categories of data quality, unique to each data type (spawner, catch, and age structure estimates), were used to rate each data type by return year in each time series, and the overall recruit-per-spawner estimates were rated by brood year. The annual data quality ratings of the component data were then used to rate annual recruit-per-spawner data by species and biological or spatial unit and also to generate global estimates across all years for each time series. These data replace previously published estimates, given our more detailed exploration of temporal changes in both field assessment methods and data quality, where both will serve as a useful starting point to assist analysts with their interpretation of data reliability and results. Ogden, A.D., Irvine, J.R., English, K.K., Grant, S., Hyatt, K.D., Godbout, L., and Holt, C.A. 2015. Productivity (Recruits-per-Spawner) data for Sockeye, Pink, and Chum Salmon from British Columbia. Can. Tech. Rep. Fish. Aquat. Sci. 3130: vi + 57 p.",,,,"CSV, RTF, PDF, DOC",,,Ecosystems and Ocean Science,"Darby, Matthew / ",NuSEDS,,,,,,,,,,,,Annually,,,,,,,,"Yes, Open Data",,,,,,,,,,,,,,,,,
,,Salmon Escapement Data System - Stream Inspection Log (SIL) Module,"Kayla Suhan, Kenneth Fong",2,,,,,,,,,,,,,,,,,,,,,,Upwards of $5 million in survey data lost annually (from PSSI callout for Digital Requirements,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Salmon Escapement Data System - Summary Estimate Narrative (SEN) Module,"Kayla Suhan, Kenneth Fong",2,,,,,,,,,,,,,,,,,,,,,,Upwards of $5 million in survey data lost annually (from PSSI callout for Digital Requirements,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,,Salmon Escapement Data System - Salmon Escapement - GIS mapping ,"Baxter, Bruce, Kayla Suhan
Hamilton, Shelee (SDC)",2,Analytical,NUSEDS_GIS,"Pulls tables from NuSEDS to relate Pacific salmon escapement data from NUSEDS database to geographic data in order to support mapping using geographic information systems
Was orginally designed for Mapster; never completed publication to Open Maps. Currently used to publish data to OBIS.",1327,No,Production,Oracle database,Structured,DFO Server,Science,Kayla Suhan,Salmon Escapement Data System - Salmon Escapement - GIS mapping_NuSEDS_GIS,,Onenote (user guide),Through oracle,Conservation & Stewardship - Multiple,Same as NuSEDS,Same as NuSEDS,Interest to better display NuSEDS data in more accessible format on OpenData,,,,,Daily,,,,,Protected B,NuSEDS,Ocean Biographic Information System (OBIS) Not DFO or GC managed system,"Open Map, FGP",,,,,,,,,,,,,,,,,
3,,Adult sockeye index data set,"Freshwater, Cameron?  Mortimor, James is Section Head;  ",2,,JSIDS,"Sockeye indicator stocks, return timing to terminal spawning areas.
Not published in FGP and Open Data Inventory ID ODI-2017-0537",,,,"SAS data sets (proprietary binary format) exportable to Excel, RTF",,,Ecosystems and Ocean Science,,NuSEDS,,,,,,,,,,,,Annually,,,,,,,,,,,,,,,,,,,,,,,,,
4,,Alsek River Catch and Escapement Data 2016,"Smith, Steve (SDC)",2,,ALSEK2016,"Estimates of salmon catches and escapements from all assessment and fishery monitoring projects on the Alsek River.
Not published in FGP; publshed in Open Data Inventory ID ODI-2017-0529",,,,Excel,,,Ecosystems and Fisheries Management,,,,,,,,,,,,,,Annually,,,,,,,,"Yes, Open Data",,,,,,,,,,,,,,,,,
6,,ATS (Acoustic trawl),"Freshwater, Cameron? Mortimor, James is Section Head; Howard Stiff, Diana McHugh (SC), Charmaine Carr-Harris (NC), Dan Selbie (Lakes), Athena Ogden (Sockeye lakes)",2,,,"Not regionally managed. Fry, presmolt, envir, biophysical; season/annual; biodata",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,iSEA - BC Tidal Recreational Survey of Fishing Expenditures,"Sidhu, Jas (SDC)",2,,,Not published in FGP and Open Data Inventory,,,,Excel,,,Ecosystems and Fisheries Management,,,,,,,,,,,,,,Other,,,,,,,,,,,,,,,,,,,,,,,,,
10,,Canadian and US Pacific Salmon Coded Wire Tag Release and Sampling Data.,"Fraser, Kathryn
Komick, Nicholas",2,,,"Not published in FGP; published in Open Data Inventory ID ODI-2017-0524
A compiled set of data from Canadian and Northwest US Pacific Salmon coded wire tagging and biological sampling projects. The Canadian data directly informs Pacific Region Science, Salmon Enhancement, and Pacific Salmon Commission Technical Committees as an obligation under the Pacific Salmon Treaty.",,,,CSV,,,Ecosystems and Ocean Science,,Mark Recovery Program System - MRP ,,,,,"The Canadian data directly informs Pacific Region Science, Salmon Enhancement, and Pacific Salmon Commission Technical Committees as an obligation under the Pacific Salmon Treaty.",,,,,,,Monthly,,,,,,,,"Yes, Open Data",,,,,,,,,,,,,,,,,
14,,"Chinook Salmon (Oncorhynchus tshawytscha) Conservation Units, Sites & Status","Hamilton, Shelee (SDC)",2,,,"Chinook Salmon (Oncorhynchus tshawytscha) Conservation Units, Sites & Status
Published in FGP and Open Data Inventory ID ODI-2018-0181",,,Production,"CSV, RTF, SHP",,DFO Server,Ecosystems and Ocean Science,"Fong, Kenneth / ",Salmon Escapement Data System - NuSEDS,,,,Science,,,,,,,,Quarterly,,,,,,BC16s: Annual Reports of Salmon Streams and Spawning Grounds,,FGP & Open Data,,,,,,,,,,,,,,,,,
15,,"Chum Salmon (Oncorhynchus keta) Conservation Units, Sites & Status","Hamilton, Shelee (SDC)",2,,,"Chum Salmon (Oncorhynchus keta) Conservation Units, Sites & Status
Published in FGP and Open Data Inventory ID ODI-2018-0182",,,Production,"CSV, RTF, SHP",,DFO Server,Ecosystems and Ocean Science,"Fong, Kenneth / ",Salmon Escapement Data System - NuSEDS,,,,Science,,,,,,,,Quarterly,,,,,,BC16s: Annual Reports of Salmon Streams and Spawning Grounds,,FGP & Open Data,,,,,,,,,,,,,,,,,
17,,"Coho Salmon (Oncorhynchus kisutch) Conservation Units, Sites & Status","Hamilton, Shelee (SDC)",2,,,"Coho Salmon (Oncorhynchus kisutch) Conservation Units, Sites & Status
Published in FGP and Open Data Inventory ID ODI-2018-0174",,,Production,"CSV, RTF, SHP",,DFO Server,Ecosystems and Ocean Science,"Fong, Kenneth / ",Salmon Escapement Data System - NuSEDS,,,,Science,,,,,,,,Quarterly,,,,,,BC16s: Annual Reports of Salmon Streams and Spawning Grounds,,FGP & Open Data,,,,,,,,,,,,,,,,,
24,,EO and Demo Data,,2,,,Economic Opportunity (EO) and Demonstration fisheries data.,,,,,,,,,Fishery Operations System - FOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,"Even Year Pink Salmon (Oncorhynchus gorbuscha) Conservation Units, Sites & Status","Hamilton, Shelee (SDC)",2,,,"Even Year Pink Salmon (Oncorhynchus gorbuscha) Conservation Units, Sites & Status
Published in FGP and Open Data Inventory ID ODI-2018-0175",,,Production,"CSV, RTF, SHP",,DFO Server,Ecosystems and Ocean Science,"Fong, Kenneth / ",Salmon Escapement Data System - NuSEDS,,,,Science,,,,,,,,Quarterly,,,,,,BC16s: Annual Reports of Salmon Streams and Spawning Grounds,,FGP & Open Data,,,,,,,,,,,,,,,,,
