Theme,Sub-Theme,Priority for Research,Priority identification number (PIN),Additional information supplied by the client,Thème,Sous-thème,Priorité de recherche,Numéro d'identification de la priorité (NIP),Informations complémentaires fournies par le client
Fisheries science,Stock assessment science,Improved catch and bycatch monitoring and bycatch reduction,FS-10,"FFHP - Biodiversity
a) Providing advice on the status of non-targeted species that are caught as a bycatch (e.g., cusk, skates, cunner)
b) Assessing risks to non-targeted species that are caught as a bycatch, and assessing the efficacy of risk mitigation measures
c) Providing frameworks and reference points for monitoring the status of non-targeted species that are caught as a bycatch
d) Developing or expanding surveys or survey methodologies to support stock assessment work for non-targeted stocks
e) Researching the lethal, sub-lethal and ecological effects of commercial, recreational or scientific fishing activity (effects other than from catch and bycatch)",Sciences halieutiques,Science de l'évaluation des stocks,"Amélioration de la surveillance des prises et des prises accessoires, et réduction des prises accessoires",FS-10,"PPH – Biodiversité
a) Fournir des avis sur l’état des espèces non ciblées qui sont capturées comme prises accessoires (p. ex. brosme, raies, tanche-tautogue).
b) Évaluer les risques pour les espèces non ciblées qui sont capturées comme prises accessoires et évaluer l’efficacité des mesures d’atténuation des risques.
c) Fournir des cadres et des points de référence pour surveiller l’état des espèces non ciblées capturées comme prises accessoires.
d) Élaborer ou élargir des relevés ou des méthodes de relevé à l’appui des travaux d’évaluation des stocks pour les stocks non ciblés.
e) Recherche sur les effets létaux, sublétaux et écologiques des activités de pêche commerciales, récréatives ou scientifiques (effets autres que ceux des prises et des prises accessoires).
"
Fisheries science,Stock assessment science,Improved catch and bycatch monitoring and bycatch reduction,FS-10,"FFHP - Mitigation measures and management activities
Science to support sustainable management of Unit 1 redfish fishery upon its emergence from moratorium. The particular conservation concern relates to managing bycatch of juvenile redfish, and other species (e.g., Atlantic halibut, cod, white hake, etc). Minimizing bycatch aligns with the departmental commitment to reduce incidental catches, focus on a more ecosystem approach to fisheries management and will reduce mortality of species that are subject to rebuilding plans as Batch 1 stocks, several of which have been assessed by COSEWIC as endangered. ",Sciences halieutiques,Science de l'évaluation des stocks,"Amélioration de la surveillance des prises et des prises accessoires, et réduction des prises accessoires",FS-10,"PPH – Mesures d’atténuation et activités de gestion
Le Secteur des sciences doit soutenir la gestion durable de la pêche au sébaste de l’unité 1 dès la fin du moratoire. La préoccupation particulière en matière de conservation concerne la gestion des prises accessoires du sébaste juvénile et d’autres espèces (p. ex. le flétan de l’Atlantique, la morue, la merluche blanche, etc.). La réduction des prises accessoires s’inscrit dans l’engagement du Ministère de réduire les prises accessoires, de mettre l’accent sur une approche plus écosystémique de la gestion des pêches et de réduire la mortalité des espèces qui font l’objet de plans de rétablissement en tant que stocks du lot 1, dont plusieurs ont été désignées par le COSEPAC comme étant en voie de disparition. 
"
Fisheries science,Stock assessment science,Improved catch and bycatch monitoring and bycatch reduction,FS-10,"FFHP - Mitigation measures and management activities: Improved catch and bycatch monitoring and bycatch reduction
Provide science advice for the implementation of UN resolution 61/105, related FAO and CBD processes (including Aichi Targets and SDG goals) and to the Intergovernmental Conference to negotiate a new implementing treaty under UNCLOS for BBNJ.  Significant adverse impacts on marine biodiversity:
a) To gain better understanding of ecosystem resilience and recovery; impacts on marine biodiversity in ABNJ; ecosystem functions of other VMEs.
b) To support DFO policy of full accounting of all fishing mortality and minimize bycatch of IUCN red-listed species.
c) Improve ability to adapt management decisions to the impacts of noise on marine ecosystems.
d) Develop a better understanding of the impacts of abandoned /discarded fishing gear on the marine environment.",Sciences halieutiques,Science de l'évaluation des stocks,"Amélioration de la surveillance des prises et des prises accessoires, et réduction des prises accessoires",FS-10,"PPH – Mesures d’atténuation et activités de gestion : amélioration de la surveillance des prises et des prises accessoires, et réduction des prises accessoires.
Fournir des avis scientifiques pour la mise en œuvre de la résolution 61/105 des Nations Unies, des processus connexes de l’Organisation des Nations Unies pour l’alimentation et l’agriculture (FAO) et de la Convention sur la Diversité biologique (CBD) (y compris les cibles d’Aichi et les objectifs des objectifs de développement durable [ODD]), ainsi que de la Conférence intergouvernementale pour négocier un nouveau traité de mise en œuvre en vertu de la Convention des Nations Unies sur le droit de la mer (UNCLOS) pour la biodiversité des zones marines situées au-delà de la juridiction nationale (BBNJ). Effets négatifs importants sur la biodiversité marine :
a) mieux comprendre la résilience et le rétablissement des écosystèmes, les répercussions sur la biodiversité marine dans les zones au-delà de la juridiction nationale et les fonctions écosystémiques des autres EMV;
b) appuyer la politique du MPO de comptabilisation complète de la mortalité par pêche et réduire au minimum les prises accessoires des espèces inscrites sur la liste rouge de l’UICN;
c) améliorer la capacité d’adapter les décisions de gestion aux répercussions du bruit sur les écosystèmes marins;
d) mieux comprendre les répercussions sur le milieu marin des engins de pêche abandonnés ou jetés.
"
Fisheries science,Stock assessment science,Improved catch and bycatch monitoring and bycatch reduction,FS-10,"Research to support ongoing improvements to methods and sampling design for catch monitoring, bycatch monitoring, and bycatch reduction",Sciences halieutiques,Science de l'évaluation des stocks,"Amélioration de la surveillance des prises et des prises accessoires, et réduction des prises accessoires",FS-10,"Recherche pour soutenir l’amélioration continue des méthodes et de la conception d'échantillonage pour la surveillance des prises, la surveillancedes prises accessoires, et de la réduction des prises accessoires."
Biotech & Genomics,Genomics: to support resource profiling and ecosystem health,Improving measures of ecosystem health using metagenomics and other genomics tools ,BG-03,"Develop genomics tools and approaches for measuring and monitoring biodiversity indicators of changes and aquatic ecosystem integrity, to inform management and/or help meet international commitments.",Biotech & Génomique,Génomique: soutien à la caractérisation des ressources et à la santé des écosystèmes,Amélioration des mesures de la santé des écosystèmes en utilisant la métagénomique et d’autres outils de génomique. ,BG-03,"Mettre au point des outils et des approches génomiques pour mesurer et surveiller les indicateurs de changement de la biodiversité et l’intégrité des écosystèmes aquatiques, afin d’éclairer les décisions de gestion et d’aider à respecter les engagements internationaux."
Biotech & Genomics,Genomics: to support resource profiling and ecosystem health,Improving measures of ecosystem health using metagenomics and other genomics tools ,BG-03,"Develop genomics tools and methodologies that can be used to analyze the environmental DNA of remote ecosystems (e.g., Arctic, deep sea environments).",Biotech & Génomique,Génomique: soutien à la caractérisation des ressources et à la santé des écosystèmes,Amélioration des mesures de la santé des écosystèmes en utilisant la métagénomique et d’autres outils de génomique. ,BG-03,"Mettre au point des outils et des méthodologies génomiques qui peuvent être utilisés pour analyser l’ADNe des écosystèmes éloignés (p. ex. Arctique, grands fonds)."
Biotech & Genomics,Genomics: to support resource profiling and ecosystem health,Improving measures of ecosystem health using metagenomics and other genomics tools ,BG-03,Develop metagenomics tools that can detect changes in the composition of  microorganism populations and can be used to monitor the degradation or recovery of aquatic ecosystems.,Biotech & Génomique,Génomique: soutien à la caractérisation des ressources et à la santé des écosystèmes,Amélioration des mesures de la santé des écosystèmes en utilisant la métagénomique et d’autres outils de génomique. ,BG-03,Mettre au point des outils de métagénomique qui peuvent détecter les changements de la composition des populations de microorganismes et servir à surveiller la dégradation ou la remise en état des écosystèmes aquatiques.
"Aquatic ecosystems Sci.: Ecosystems, habitats, impacts",Assessing and reporting on aquatic ecosystems,Indicators,AEb-02,"Development of more efficient and cost effective monitoring indicators and protocols (such as use of eDNA and remote sensing, in conjunction with model development), with a focus on those that can be applied at the bioregional scale","Science des écosystèmes aquatiques: écosystèmes, habitats, impacts",Évaluation et compte rendu sur les écosystèmes aquatiques,Indicateurs,AEb-02,"Élaboration d’indicateurs et de protocoles de surveillance plus efficaces et plus efficients (comme l’utilisation de l’ADNe et de la télédétection, parallèlement à l’élaboration d’un modèle), en mettant l’accent sur ceux qui peuvent être appliqués à l’échelle biorégionale."
"Aquatic ecosystems Sci.: Ecosystems, habitats, impacts",Assessing and reporting on aquatic ecosystems,Indicators,AEb-02,"Development of frameworks that identify key indicators and associated metrics to inform assessment and reporting of aquatic ecosystems and habitats, including impacts.","Science des écosystèmes aquatiques: écosystèmes, habitats, impacts",Évaluation et compte rendu sur les écosystèmes aquatiques,Indicateurs,AEb-02,"Élaboration de cadres définissant les indicateurs clés et les mesures connexes pour éclairer l’évaluation et le signalement des écosystèmes et des habitats aquatiques, y compris les impacts."
"Aquatic ecosystems Sci.: Ecosystems, habitats, impacts",Assessing and reporting on aquatic ecosystems,Indicators,AEb-02,"FFHP - Mitigation measures and management activities: Improved catch and bycatch monitoring and bycatch reduction
Research to support the implementation of UN resolution 61/105, related to FAO and CBD processes (including Aichi Targets and SDG goals) and to the Intergovernmental Conference to negotiate a new implementing treaty under UNCLOS for BBNJ.  Significant adverse impacts on marine biodiversity:
a. Recovery of depleted populations of corals and sponges from fishing impacts
b. Understanding adverse impacts on Marine Biodiversity in Areas Beyond National Jurisdiction (ABNJ)
c. Ecosystem functions of Vulnerable Marine Ecosystems (VME) indicators and VME elements (e.g., canyons, seamounts) in the high seas. 
d. Impacts of anthropogenic underwater noise on marine diversity, including development of indicators and frameworks for monitoring underwater noise.","Science des écosystèmes aquatiques: écosystèmes, habitats, impacts",Évaluation et compte rendu sur les écosystèmes aquatiques,Indicateurs,AEb-02,"PPH – Mesures d’atténuation et activités de gestion : amélioration de la surveillance et de la réduction des prises accessoires.
Recherche pour soutenir la mise en œuvre de la résolution 61/105 des Nations Unies, des processus connexes de l’Organisation des Nations Unies pour l’alimentation et l’agriculture (FAO) et de la Convention sur la Diversité biologique (CBD), y compris les cibles d’Aichi et les objectifs de développement durable (ODD), ainsi que de la Conférence intergouvernementale pour négocier un nouveau traité de mise en œuvre en vertu de la Convention des Nations Unies sur le droit de la mer (UNCLOS) pour la biodiversité des zones marines situées au-delà de la juridiction nationale. Effets néfastes notables sur la biodiversité marine.
a. Rétablissement des populations de coraux et d’éponges décimées en raison des impacts de la pêche.
b. Compréhension des impacts sur la biodiversité marine dans les zones marines situées au-delà de la juridiction nationale.
c. Fonctions écosystémiques des indicateurs des écosystèmes marins vulnérables (EMV) et des éléments des EMV (p. ex. canyons, monts sous-marins) en haute mer. 
d. Impacts des bruits sous-marins anthropiques sur la diversité marine, y compris l’élaboration d’indicateurs et de cadres de surveillance du bruit sous-marin."
"Aquatic ecosystems Sci.: Ecosystems, habitats, impacts",Assessing and reporting on aquatic ecosystems,Indicators,AEb-02,"FFHP - Monitoring: Research to evaluate the effectiveness of management measures in achieving their conservation objectives and/or providing conservation benefit in freshwater ecosystem
a. Development of indicators and thresholds (will also support state of fish and fish habitat reporting)
b. Standard methods and protocols for community-based baseline data collection and monitoring
c. Development of standard methods/protocols for proponents, local communities, NGOs, and/or Indigenous groups to support the collection of baseline data","Science des écosystèmes aquatiques: écosystèmes, habitats, impacts",Évaluation et compte rendu sur les écosystèmes aquatiques,Indicateurs,AEb-02,"PPH – Surveillance : recherche visant à évaluer l’efficacité des mesures de gestion dans l’atteinte d’objectifs de conservation ou de la prestation d’avantages de conservation dans l’écosystème d’eau douce.
a. Élaboration d’indicateurs et de seuils (qui appuieront également la production de rapports sur l’état du poisson et de son habitat).
b. Méthodes et protocoles normalisés de collecte et de surveillance des données de base communautaires.
c. Élaboration de méthodes/protocoles normalisés pour les promoteurs, les collectivités locales, les ONG ou les groupes autochtones afin d’appuyer la collecte de données de base."
"Aquatic ecosystems Sci.: Ecosystems, habitats, impacts",Assessing and reporting on aquatic ecosystems,Indicators,AEb-02,"Research for the development of habitat metrics at the land-scape, watershed scale to inform, improve the determination of biological status (population status) of priority species ","Science des écosystèmes aquatiques: écosystèmes, habitats, impacts",Évaluation et compte rendu sur les écosystèmes aquatiques,Indicateurs,AEb-02,Recherche en vue de l’élaboration de mesures relatives à l’habitat à l’échelle de l’écopaysage et du bassin hydrologique afin d’éclairer et d’améliorer l’établissement de la situation biologique (état de la population) des espèces prioritaires.
"Aquatic ecosystems Sci.: Ecosystems, habitats, impacts",Assessing and reporting on aquatic ecosystems,Indicators,AEb-02,"Support FFHPP in:
a) developing their approach towards State of Habitat reporting (tools for staff and communication with the public), 
b) evaluating effectiveness of program decision making. ","Science des écosystèmes aquatiques: écosystèmes, habitats, impacts",Évaluation et compte rendu sur les écosystèmes aquatiques,Indicateurs,AEb-02,"Aider le Programme de protection du poisson et de son habitat (PPPH) pour:
a) l'élaboration de l’approche en matière de production de rapports sur l’état de l’habitat (outils pour le personnel et les communications avec le public); 
b) l'évaluation de l’efficacité du processus décisionnel du Programme. 
"
Aquaculture science,Aquaculture interactions with fisheries and other human activities,Introductions and transfers,AQ-11,Develop an effective mitigation treatment for AIS species (predominantly tunicate species) that would reduce the risk to an acceptable level to allow for the required (spat collection license conditions) transfer of oyster spat collectors from an AIS infested water body to a non-infested water body.,Science de l'aquaculture,Interactions de l'aquaculture avec les pêcheries et autres activités humaines,Introductions et transferts,AQ-11,Élaborer un traitement d’atténuation efficace pour les espèces aquatiques envahissantes (EAE) (principalement les espèces d’ascidie) qui réduirait le risque à un niveau acceptable afin de permettre le transfert requis (conditions du permis de collecte de naissains) des collecteurs de naissains d’huîtres d’un plan d’eau infesté par des EAE vers un plan d’eau non infesté.
Aquaculture science,Aquaculture interactions with fisheries and other human activities,Introductions and transfers,AQ-11,"What is the environmental impact of oyster introduction into ""non-native"" habitats in Québec (i.e. North Shore of the Saint Lawrence estuary and Anticosti Island) .",Science de l'aquaculture,Interactions de l'aquaculture avec les pêcheries et autres activités humaines,Introductions et transferts,AQ-11,Quel est l’impact environnemental de l’introduction d’huîtres dans les habitats « non indigènes » au Québec (c.-à-d. la côte nord de l’estuaire du Saint-Laurent et l’île d’Anticosti)?
Aquaculture science,Short/long-term impacts of aquaculture on fish and fish habitat,Long term impacts - Area-based management or bay management,AQ-14,"Research to support the delivery of science advice to answer the following questions: 
a) What is the risk that aquaculture operations pose to bay-scale marine habitats?  
b)  What are the component and combined elements that form this risk (i.e., major pathways of effects such as authorized drugs and registered pesticides, sea lice, pathogens, genetic interactions)? 
This should examine the consequences and likelihood of interactions between aquaculture operations and marine habitats at the bay-scale from a single operation or multiple operations and single and multiple pathways (i.e., cumulative effects).",Science de l'aquaculture,Impact à court/long terme de l'aquaculture sur le poisson et son habitat,Impacts à long terme – Gestion par zone ou gestion par baie,AQ-14,"Recherche à l’appui de la prestation de conseils scientifiques pour répondre aux questions suivantes : 
a) Quel est le risque que posent les activités d’aquaculture pour les habitats marins à l’échelle des baies? 
b) Quels sont les composantes et les éléments combinés qui constituent ce risque (c.?à?d. les principales séquences d’effets, comme les médicaments autorisés et les pesticides homologués, le pou de mer, les pathogènes, les interactions génétiques)? 
Cette recherche devrait examiner les conséquences et la probabilité des interactions entre les activités d’aquaculture et les habitats marins à l’échelle des baies à partir d’une seule opération ou de plusieurs opérations et de voies uniques et multiples (c.-à-d. les effets cumulatifs).
"
Aquaculture science,Short/long-term impacts of aquaculture on fish and fish habitat,Long term impacts - Drugs and Pesticides: post-deposit monitoring and modeling of impacts,AQ-15,"Research to support the development and delivery of scientific advice that answer the following questions:   
a. What are the risks to marine habitats at the bay-scale from the deposit of registered pesticides and authorized pest control drugs as managed under existing federal and provincial policies and regulations (incl. conditions of license)?  
b. What are scale and scope of near- and far-field impacts?  
c.  Are there risks of coast-wide impacts and, if so, what are these impacts and risks? 
d. How do policies and regulations mitigate risks?  
There is the opportunity here of linking the results to adaptive management measures such as adjustment of regulations or conditions of license. This process should examine these impacts on both coasts.",Science de l'aquaculture,Impact à court/long terme de l'aquaculture sur le poisson et son habitat,Impacts à long terme – Médicaments et pesticides : surveillance et modélisation des impacts après le dépôt,AQ-15,"Recherche à l’appui de l’élaboration et de la prestation de conseils scientifiques qui répondent aux questions suivantes :  
a. Quels sont les risques pour les habitats marins à l’échelle des baies découlant du dépôt de pesticides homologués et de médicaments antiparasitaires autorisés qui sont gérés en vertu des politiques et règlements fédéraux et provinciaux existants (y compris les conditions d’octroi de permis)? 
b. Quelles sont l’ampleur et la portée des impacts à proximité et à grande distance? 
c. Y a-t-il des risques d’impacts à l’échelle des côtes et, si oui, quels sont-ils? 
d. Comment les politiques et les règlements atténuent-ils les risques? 
Il est possible d’établir un lien entre les résultats et les mesures de gestion adaptative, comme l’ajustement des règlements ou les conditions de permis. Ce processus devrait examiner ces impacts sur les deux côtes."
Aquaculture science,Short/long-term impacts of aquaculture on fish and fish habitat,Long term impacts - Drugs and Pesticides: post-deposit monitoring and modeling of impacts,AQ-15,Understanding the contribution and consequences of anti-microbial resistance associated with the use of antibiotics by the salmon aquaculture industry ,Science de l'aquaculture,Impact à court/long terme de l'aquaculture sur le poisson et son habitat,Impacts à long terme – Médicaments et pesticides : surveillance et modélisation des impacts après le dépôt,AQ-15,Comprendre la contribution et les conséquences de la résistance antimicrobienne associée à l’utilisation d’antibiotiques par l’industrie salmonicole.
Aquaculture science,Short/long-term impacts of aquaculture on fish and fish habitat,Long term impacts - Impact of effluent from recirculating aquaculture on salmonids,AQ-16,"Characterization of waste release in Recirculating Aquaculture Systems in correlation to new feed formulations and the implication on biochemical oxygen demanding matter loading to the environment.
With special focus on phosphorus output.",Science de l'aquaculture,Impact à court/long terme de l'aquaculture sur le poisson et son habitat,Impacts à long terme – Impact des effluents de l’aquaculture en recirculation sur les salmonidés,AQ-16,"Caractérisation des déchets rejetés dans les systèmes d’aquaculture en recirculation en corrélation avec de nouvelles formulations de nourriture et des répercussions du rejet dans l’environnement de matières exerçant une demande biochimique d’oxygène.
Avec un accent particulier sur la production de phosphore."
Aquaculture science,Short/long-term impacts of aquaculture on fish and fish habitat,Long term impacts - Impacts of sea lice on aquaculture management and the wild fishery,AQ-17,"What are the natural levels of sea lice on all 5 species of wild pacific salmon and farmed Atlantic salmon in the following regions: 
West coast of Vancouver Island
Discovery Islands
What are the contributing factors to these natural levels. Is there a relationship between farmed and wild sea lice levels? What is the natural variation of farmed and wild sea lice levels in these areas?
",Science de l'aquaculture,Impact à court/long terme de l'aquaculture sur le poisson et son habitat,Impacts à long terme – Impacts du pou de mer sur la gestion de l’aquaculture et la pêche sauvage,AQ-17,"Quels sont les niveaux naturels de pou de mer chez les cinq espèces de saumon sauvage du Pacifique et de saumon de l’Atlantique d’élevage dans les régions suivantes : 
Côte ouest de l’île de Vancouver
Îles Discovery
Quels sont les facteurs qui contribuent à ces niveaux naturels? Y a-t-il un lien entre les niveaux de pou de mer chez les poissons d’élevage et les poissons sauvages? Quelle est la variation naturelle des niveaux de pou de mer chez les poissons d’élevage et sauvages dans ces régions?
"
Aquatic ecosystems Sci.: AIS-SARA,"Developing innovative methods and models to support analysis, advice and decision making",Management tools and approaches,AEa-05,"Improve/develop tools & methods
Developing innovative methods and models to support analysis, advice and decision making (e.g. Tsunami forecast products, Aquatic Invasive Species distribution/risk, aquaculture interactions, fisheries risks, and Marine Protected Area planning) ",Science des écosystèmes aquatiques: EAE-LEP,"Développement de méthodes et modèles novateurs en soutien à l'analyse, le conseil et la prise de décision",Outils et approches de gestion,AEa-05,"Améliorer ou élaborer des outils et des méthodes
Élaborer des méthodes et des modèles novateurs pour appuyer l’analyse, la formulation d’avis et la prise de décisions (p. ex. produits de prévision des tsunamis, répartition des EAE et risques connexes, interactions avec l’aquaculture, risques liés aux pêches et planification des zones de protection marine [ZPM]).
"
Climate change & Oceans,"Developing innovative methods and models to support analysis, advice and decision making",Management tools and approaches,CC-02,"Develop innovative methods and models to support analysis, advice and decision making (e.g. Tsunami forecast products, Aquatic Invasive Species distribution/risk, aquaculture interactions, fisheries risks, adaptive management tools, and Marine Protected Area planning)",Changements climatiques et Océans,"Développement de méthodes et modèles novateurs en soutien à l'analyse, le conseil et la prise de décision",Outils et approches de gestion,CC-02,"Élaboration de méthodes et de modèles novateurs pour appuyer l’analyse, les conseils et la prise de décisions (p. ex. produits de prévision des tsunamis, distribution/risque des espèces aquatiques envahissantes, interactions avec l’aquaculture, risques liés aux pêches, outils de gestion adaptative et planification des aires marines protégées)."
Climate change & Oceans,"Developing innovative methods and models to support analysis, advice and decision making",Management tools and approaches,CC-02,Development of evidence-based climate change adaptive management tools to reduce vulnerability and address risks. ,Changements climatiques et Océans,"Développement de méthodes et modèles novateurs en soutien à l'analyse, le conseil et la prise de décision",Outils et approches de gestion,CC-02,Élaboration d’outils de gestion adaptative des changements climatiques fondés sur des données probantes pour réduire la vulnérabilité et atténuer les risques. 
Fisheries science,"Developing innovative methods and models to support analysis, advice and decision making in fisheries science",Management tools and approaches,FS-01,"Improve/develop tools & methods
Developing innovative methods and models to support analysis, advice and decision making (e.g. Tsunami forecast products, Aquatic Invasive Species distribution/risk, aquaculture interactions, fisheries risks, and Marine Protected Area planning) (will require more details on the specific research topics to be addressed)",Sciences halieutiques,"Développement de méthodes et modèles novateurs en soutien à l'analyse, le conseil et la prise de décision en science halieutique",Outils et approches de gestion,FS-01,"Améliorer ou élaborer des outils et des méthodes.
Élaborer des méthodes et modèles novateurs pour appuyer l’analyse, la formulation d’avis et la prise de décisions (p. ex. produits de prévision des tsunamis, répartition et risques des espèces aquatiques envahissantes, interactions avec l’aquaculture, risques liés aux pêches et planification des zones de protection marine). (Les sujets de recherche à étudier devront être précisés.)
"
Fisheries science,Stock assessment science,Management tools and approaches,FS-11,"Sustainable fisheries development 
i) Support for the achievement of the elements identified in the annual work plans of the Framework for Sustainable Fisheries, in particular with respect to the development of precautionary approaches for species that do not have any;
ii) Support for eco-certification initiatives of fisheries initiated by the industry (snow crab in the nGSL, Greenland halibut, Atlantic halibut, lobster, shrimp, etc.), support for the development and implementation of action plan elements falling under the DFO's core mandate, particularly by conducting research on the impact of fisheries on target and non-target species, habitat and the ecosystem.

",Sciences halieutiques,Science de l'évaluation des stocks,Outils et approches de gestion,FS-11,"Développement durable des pêches
i) Soutien à la réalisation des éléments identifiés dans les Plans de travail annuels du Cadre pour la pêche durable notamment quant au développement des approches de précaution pour les espèces qui n'en n'ont pas.
ii) Soutien aux initiatives d'écocertification des pêches initiées par l'industrie (crabe des neiges du NGSL, flétan du Groenland, flétan atlantique, homard, crevette, etc.), support à l’élaboration et à la mise en oeuvre des éléments des plans d’action relevant du mandat principal du MPO, notamment par la réalisation de recherche portant sur l'impact de la pêche sur les espèces ciblées et non ciblées, sur l’habitat et sur l’écosystème."
Fisheries science,Stock assessment science,Management tools and approaches,FS-11,"Stock assessment and scientific support for the development of recommendations on management measures for commercial, recreational and FSC fisheries and subsistence harvesting (lack of scientific monitoring identified by management for several species, e.g., whelk, sea cucumber, spider crab, Atlantic surfclam, Atlantic razor clam, sea urchin, beluga (northern populations), seals (northern populations), walrus, narwhal):
a. Contribute to stock assessments, in particular by conducting research surveys for species for which a survey is not currently conducted.
b. Partnering in projects to modernize fishing practices (development of new gear, new methods, improved selectivity, reduction of impacts).",Sciences halieutiques,Science de l'évaluation des stocks,Outils et approches de gestion,FS-11,"Évaluation des stocks et soutien scientifique à l'élaboration de recommandations sur les mesures de gestions pour les pêches commerciale, récréative, ASR et la chasse de subsistance [Manque de suivi scientifique identifié par la gestion pour plusieurs espèces; p. ex.: buccin, concombre de mer, crabe commun, crabe araignée, mactre de l'Atlantique, couteau de l'Atlantique, oursin, béluga (populations du nord), phoques (populations du nord), morse, narval et algues]: 
a. Contribuer aux évaluations des stocks notamment en réalisant des relevés de recherche pour les espèces qui ne disposent pas de relevé.
b. Partenariat dans des projets de modernisation des pratiques de pêche ( développement de nouveaux engins, nouvelles méthodes, amélioration de la sélectivité, réduction des impacts)
"
Fisheries science,Stock assessment science,Management tools and approaches,FS-11,Determine any impacts on lobster population sustainability (if any) if changes to the harvesting season were introduced.,Sciences halieutiques,Science de l'évaluation des stocks,Outils et approches de gestion,FS-11,Déterminer les répercussions sur la durabilité des populations de homards (le cas échéant) si des changements sont apportés à la saison de pêche.
Fisheries science,Stock assessment science,Management tools and approaches,FS-11,"FFHP - Mitigation measures and management activities: Science to support sustainable management of Unit 1 redfish fishery upon its emergence from moratorium. Specifically, an evaluation of conclusions from the previous stock assessment. 
Advice is being requested to consider recent data from the redfish experimental and index fishery in the context of the most recent stock assessment with intent of confirming stock trends.",Sciences halieutiques,Science de l'évaluation des stocks,Outils et approches de gestion,FS-11,"PPH – Mesures d’atténuation et activités de gestion : le Secteur des sciences doit soutenir la gestion durable de la pêche au sébaste de l’unité 1 dès la fin du moratoire. Plus précisément, une évaluation des conclusions tirées de la précédente évaluation des stocks. 
Des avis sont sollicités qui prennent en compte les données récentes des pêches expérimentales et repères dans le contexte de la plus récente évaluation des stocks afin de confirmer les tendances pour ces stocks.
"
Fisheries science,Stock assessment science,Management tools and approaches,FS-11,"Improve/develop tools & methods:
a. Research the use of artificial Intelligence for multiple applications (e.g. bycatch detection, improved modelling)
b. Developing or expanding innovative, products tools or methods to monitor, detect, and understand the marine environment, species, and habitats (e.g. for data-limited species, including species at risk, and non-invasive remote sensing methods)",Sciences halieutiques,Science de l'évaluation des stocks,Outils et approches de gestion,FS-11,"Améliorer ou élaborer des outils et des méthodes.
a. Faire des recherches sur l’utilisation de l’intelligence artificielle pour de multiples applications (p. ex. détection des prises accessoires, modélisation améliorée).
b. Élaborer ou étendre l’utilisation de méthodes ou outils novateurs pour surveiller, détecter et comprendre l’environnement, les espèces et les habitats marins (p. ex. espèces pour lesquelles les données sont limitées, notamment les espèces en péril et les méthodes de télédétection non invasives).
"
Fisheries science,Stock assessment science,Management tools and approaches,FS-11,Improving methods to analyse acoustic monitoring data,Sciences halieutiques,Science de l'évaluation des stocks,Outils et approches de gestion,FS-11,Amélioration des méthodes d’analyse des données de surveillance acoustique.
Fisheries science,Stock assessment science,Management tools and approaches,FS-11,"Research and analysis to evaluate the effectiveness of existing measures, such as fisheries-related measures (e.g., closure of fishing areas, restrictions on or modifications to certain types of gear).",Sciences halieutiques,Science de l'évaluation des stocks,Outils et approches de gestion,FS-11,"Recherches et analyses visant à évaluer l’efficacité des mesures existantes, comme les mesures face aux pêches (p. ex., fermetures de zone de pêche, restriction ou modification de certains engins de pêche)."
Fisheries science,Stock assessment science,Management tools and approaches,FS-11,"Research on the design and effectiveness of spatial management measures (e.g., rotational harvest strategies) and measures that could be used to support changes in or expansion of resource use (e.g., changes in seasons or gear design.",Sciences halieutiques,Science de l'évaluation des stocks,Outils et approches de gestion,FS-11,Recherche sur la conception et l’efficacité des mesures de gestion spatiale (p. ex. stratégies de capture par rotation) et des mesures qui pourraient être utilisées pour soutenir des changements ou un élargissement dans l’utilisation des ressources (p. ex. changements de saison ou de conception des engins).
"Aquatic ecosystems Sci.: Ecosystems, habitats, impacts",Mitigation and management effectiveness of measures to protect ecosystems and habitats,Model and tool development,AEb-05,"a. Spatial mapping and/or modelling of the interaction of fishing gear/shipping corridors and whale migration routes, and denning areas for seas (e.g. ringed and bearded), and polar bears
b. Incorporating connectivity into MPA Network (MPAN) planning for species and physical/chemical processes, including physical/chemical processes outside MPA boundaries that can impact the environment within","Science des écosystèmes aquatiques: écosystèmes, habitats, impacts",Atténuation et efficacité de la gestion des mesures de protection des écosystèmes et des habitats ,Développement de modèles et d’outils,AEb-05,"a. Cartographie spatiale ou modélisation de l’interaction entre engins de pêche/corridors de navigation et routes de migration des baleines, et aires de mise bas des phoques (p. ex. phoque annelé et phoque barbu) et des ours polaires.
b. Intégration de la connectivité pour la planification du réseau des AMP (RAMP) pour les espèces et les processus physiques/chimiques, y compris ceux hors des limites des AMP qui peuvent avoir une incidence sur l’environnement à l’intérieur de celles-ci."
"Aquatic ecosystems Sci.: Ecosystems, habitats, impacts",Mitigation and management effectiveness of measures to protect ecosystems and habitats,Model and tool development,AEb-05,"Development of coast-wide models to provide information on local habitats and ecosystems around coastal communities (to support spill response, improve maritime safety, area-based management, etc.) 
","Science des écosystèmes aquatiques: écosystèmes, habitats, impacts",Atténuation et efficacité de la gestion des mesures de protection des écosystèmes et des habitats ,Développement de modèles et d’outils,AEb-05,"Élaboration de modèles à l’échelle du littoral pour fournir des renseignements sur les habitats et les écosystèmes locaux dans le voisinage des communautés côtières (appui des interventions en cas de déversement, amélioration de la sécurité maritime, gestion par zone, etc.).
"
