Thème,Sous-thème,Priorité de recherche,Numéro d'identification de la priorité (NIP),Informations complémentaires fournies par le client
"Science des écosystèmes aquatiques: écosystèmes, habitats, impacts","Menaces et impacts sur les écosystèmes, habitats",Incidence des agents de stress,AEb-07,"Science des effets cumulatifs (PPPH): Recherche pour (1) soutenir et comprendre le role d'agents de stress uniques ou multiples sur les écosysthèmes d'eau douce, avec priorité sur les habitats perturbés ou détruits, les impacts sur l'habitat du poisson, les habitats critiques; (2) soutien scientifique pour établir des indicateurs et des déclencheurs d'intervention. Focus sur les habitats riverains, les développements hydroélectriques et les projets aquiciles. Zones prioritaires: Grands Lacs Inférieurs, Pentes Orientales de l'Alberta."
"Science des écosystèmes aquatiques: écosystèmes, habitats, impacts","Menaces et impacts sur les écosystèmes, habitats",Incidence des agents de stress,AEb-07,"Effet ou répercussions des changements climatiques sur les aires marines de conservation (AMC).
Recherche sur l’effet ou les répercussions des changements climatiques sur les AMC (p. ex. EES, AMP, refuges), incluant l’identification de zones de résilience climatique dans le but de faciliter la priorisation des sites de réseaux de conservation. 
"
"Science des écosystèmes aquatiques: écosystèmes, habitats, impacts","Menaces et impacts sur les écosystèmes, habitats",Incidence des agents de stress,AEb-07,Effets du bruit et de la vibration sur le poisson.
"Science des écosystèmes aquatiques: écosystèmes, habitats, impacts","Menaces et impacts sur les écosystèmes, habitats",Incidence des agents de stress,AEb-07,"Estimation des engins fantômes (dans une région précise ou l’ensemble du Canada) d’après les rapports du Fonds pour les engins fantômes. À partir des données de la première année des opérations de récupération dans le cadre du programme du Fonds pour les engins fantômes et des rapports sur les engins de pêche perdus/abandonnés/jetés, le programme vise à mieux saisir l’étendue du problème causé par ces engins dans les eaux canadiennes. L’utilisation des données des formulaires sur les engins perdus et des formulaires d’extraction de données ainsi que leur recoupement avec les cartes des efforts de pêche provenant de différentes régions/pêcheries permettraient de mieux apprécier la quantité d’engins fantômes qui se trouvent dans nos eaux. Cette information pourrait fournir des directives sur les endroits où concentrer les futures opérations de récupération et les secteurs considérés comme « à risque élevé » de perte d’engins en fonction de l’effort de pêche et de la récupération, et pourrait aider à déterminer le niveau actuel de conformité en matière de déclaration des engins de pêche commerciale perdus. "
"Science des écosystèmes aquatiques: écosystèmes, habitats, impacts","Menaces et impacts sur les écosystèmes, habitats",Incidence des agents de stress,AEb-07,"Impacts du développement hydroéléctrique sur l'hydrologie, ains que sur la productivité et la mortalité des poissons."
"Science des écosystèmes aquatiques: écosystèmes, habitats, impacts","Menaces et impacts sur les écosystèmes, habitats",Incidence des agents de stress,AEb-07,Impacts d'activités sur le poisson et son habitat dans les zones côtièrs et estuariennes
"Science des écosystèmes aquatiques: écosystèmes, habitats, impacts","Menaces et impacts sur les écosystèmes, habitats",Incidence des agents de stress,AEb-07,"Impacts des engins de pêche incluant les nouveaux types d'engins sur différentes espèces (p. ex. accrochage, prises accidentelles)"
"Science des écosystèmes aquatiques: écosystèmes, habitats, impacts","Menaces et impacts sur les écosystèmes, habitats",Incidence des agents de stress,AEb-07,"Priorités sur la qualité environnementale marine, incluant les impacts du bruit océanique"
"Science des écosystèmes aquatiques: écosystèmes, habitats, impacts","Menaces et impacts sur les écosystèmes, habitats",Incidence des agents de stress,AEb-07,"Projection des répercussions des changements climatiques sur l’environnement et les écosystèmes à l’appui de la gestion adaptative.
a. Planification spatiale marine.
b. Répercussions sur les AMP et autres mesures efficaces
c. Sur la gestion des habitats d'eau douce
"
"Science des écosystèmes aquatiques: écosystèmes, habitats, impacts","Menaces et impacts sur les écosystèmes, habitats",Incidence des agents de stress,AEb-07,"Recherche sur l’intégration des changements climatiques à la planification spatiale marine afin d’aider à gérer les AMP dans les AMCEZ. 
Ressources marines arctiques; impacts sur les écosystèmes et les régions les plus vulnérables.
"
"Science des écosystèmes aquatiques: écosystèmes, habitats, impacts","Menaces et impacts sur les écosystèmes, habitats",Incidence des agents de stress,AEb-07,"Recherche sur les agents de stress prioritaires et émergents d'intérêt pour les communautés autochtones (p. ex. prolifération d’algues nuisibles, déversements d’hydrocarbures, eutrophisation, etc.).  
"
"Science des écosystèmes aquatiques: écosystèmes, habitats, impacts","Menaces et impacts sur les écosystèmes, habitats",Incidence des agents de stress,AEb-07,"Recherche en soutien de l'évaluation des impacts anthropogéniques sur les écosystèmes aquatiques, p.ex. trafic maritime, bruit, acidification, exploration/exploitation des ressources, EAE, plastiques/micro-plastiques, polluants chimiques et d'autres impacts cumulatif, effets biologiques, et évaluations de risques"
"Science des écosystèmes aquatiques: écosystèmes, habitats, impacts","Menaces et impacts sur les écosystèmes, habitats",Incidence des agents de stress,AEb-07,"Comprendre le rôle des agents de stress sur la fonction écosystémique.
a. Surveillance, évaluation et atténuation des effets anthropiques des bruits sous-marins (y compris bruits sismiques) sur la faune marine (plus particulièrement les poissons, les invertébrés et les tortues marines).
b. Ces lignes directrices sont présentées dans l’Énoncé des pratiques canadiennes d’atténuation des ondes sismiques en milieu marin.
c. Bruit dans l’Arctique : niveaux d’émission des activités anthropiques (p. ex. fonçage de pieux, dragage, déglaçage) et répercussions des bruits sous-marins sur la faune marine arctique.
d. Évaluation des répercussions des débris marins benthiques et élimination de ces débris (en particulier pour la région de Terre-Neuve-et-Labrador).
e. Effets cumulatifs de la modification du régime sédimentaire sur le système côtier (en particulier pour la région du Golfe).
f. Répercussions des engins de pêche, y compris les nouveaux types d’engins, sur différentes espèces (p. ex. empêtrements, prises accessoires).
g. Répercussions de l’hypoxie induite par les nutriments sur l’utilisation de l’habitat par le biote estuarien (plus particulièrement dans la région du Golfe)."
Biotech & Génomique,Génomique: soutien à la caractérisation des ressources et à la santé des écosystèmes,Élaboration et application d’outils de génomique et de bio-informatique pour détecter et surveiller les indicateurs de stress environnemental dans les écosystèmes aquatiques.,BG-01,Mettre au point des outils de génomique et d’apprentissage automatique prédictif (p. ex. analyses des variantes structurelles du génome associées à la sélection adaptative aux environnements changeants) pour évaluer la vulnérabilité génomique résultant des changements climatiques.
Biotech & Génomique,Génomique: soutien à la caractérisation des ressources et à la santé des écosystèmes,Élaboration et application d’outils de génomique et de bio-informatique pour détecter et surveiller les indicateurs de stress environnemental dans les écosystèmes aquatiques.,BG-01,Mettre au point des outils génomiques qui peuvent être utilisés pour surveiller les changements biologiques d’un écosystème.
Biotech & Génomique,Génomique: soutien à la caractérisation des ressources et à la santé des écosystèmes,Élaboration et application d’outils de génomique et de bio-informatique pour détecter et surveiller les indicateurs de stress environnemental dans les écosystèmes aquatiques.,BG-01,"Mettre au point des outils génomiques, protéomiques, transcriptomiques et métabolomiques qui peuvent être utilisés pour évaluer les indicateurs de stress biologique dans les écosystèmes aquatiques et détecter la réponse physiologique des organismes aquatiques aux facteurs environnementaux."
Biotech & Génomique,Génomique: soutien à la caractérisation des ressources et à la santé des écosystèmes,Élaboration et application d’outils de génomique et de bio-informatique pour détecter et surveiller les indicateurs de stress environnemental dans les écosystèmes aquatiques.,BG-01,"Mettre au point des outils axés sur l’ADNe et d’autres outils génomiques pour la détection précoce d’espèces aquatiques envahissantes, et évaluer l’efficacité des stratégies d’éradication afin d’orienter le programme des Espèces aquatiques envahissantes."
Biotech & Génomique,Génomique: soutien à la caractérisation des ressources et à la santé des écosystèmes,"Élargir le recours au séquençage de l’ADN et à la bio-informatique, aux panneaux de marqueurs génétiques et à l’ADNe pour soutenir la gestion des pêches, ainsi que la protection et l’amélioration de la biodiversité et de l’habitat aquatique des poissons..",BG-02,"Élaborer des méthodes de génomique (p. ex. ADNe) pour détecter et surveiller les espèces vulnérables (p. ex. les espèces inscrites par le Comité sur la situation des espèces en péril au Canada [COSEPAC]), évaluer l’efficacité des programmes de rétablissement et éclairer les mesures de gestion."
Biotech & Génomique,Génomique: soutien à la caractérisation des ressources et à la santé des écosystèmes,"Élargir le recours au séquençage de l’ADN et à la bio-informatique, aux panneaux de marqueurs génétiques et à l’ADNe pour soutenir la gestion des pêches, ainsi que la protection et l’amélioration de la biodiversité et de l’habitat aquatique des poissons..",BG-02,"Élaborer des méthodologies génomiques pouvant être utilisées dans l’identification médico-légale des espèces de poissons afin de faciliter l’application de la réglementation sur les pêches, la mise en œuvre des exigences de traçabilité dans les règlements et la surveillance des prises accessoires. "
Biotech & Génomique,Génomique: soutien à la caractérisation des ressources et à la santé des écosystèmes,"Élargir le recours au séquençage de l’ADN et à la bio-informatique, aux panneaux de marqueurs génétiques et à l’ADNe pour soutenir la gestion des pêches, ainsi que la protection et l’amélioration de la biodiversité et de l’habitat aquatique des poissons..",BG-02,"Élaborer des analyses génomiques des populations (p. ex. analyses génétiques de stocks mixtes, ADNe) pour augmenter la portée et la profondeur des renseignements utilisés pour discriminer, détecter et surveiller les espèces halieutiques importantes afin d’éclairer la gestion des pêches et de les intégrer dans les pratiques de gestion durable des pêches. "
Biotech & Génomique,Génomique: soutien à la caractérisation des ressources et à la santé des écosystèmes,"Élargir le recours au séquençage de l’ADN et à la bio-informatique, aux panneaux de marqueurs génétiques et à l’ADNe pour soutenir la gestion des pêches, ainsi que la protection et l’amélioration de la biodiversité et de l’habitat aquatique des poissons..",BG-02,Élaborer l’analyse de l’ADNe pour améliorer les stratégies de gestion des aires marinées protégées. 
Biotech & Génomique,Génomique: soutien à la caractérisation des ressources et à la santé des écosystèmes,Amélioration des mesures de la santé des écosystèmes en utilisant la métagénomique et d’autres outils de génomique. ,BG-03,"Mettre au point des outils et des approches génomiques pour mesurer et surveiller les indicateurs de changement de la biodiversité et l’intégrité des écosystèmes aquatiques, afin d’éclairer les décisions de gestion et d’aider à respecter les engagements internationaux."
Biotech & Génomique,Génomique: soutien à la caractérisation des ressources et à la santé des écosystèmes,Amélioration des mesures de la santé des écosystèmes en utilisant la métagénomique et d’autres outils de génomique. ,BG-03,"Mettre au point des outils et des méthodologies génomiques qui peuvent être utilisés pour analyser l’ADNe des écosystèmes éloignés (p. ex. Arctique, grands fonds)."
Biotech & Génomique,Génomique: soutien à la caractérisation des ressources et à la santé des écosystèmes,Amélioration des mesures de la santé des écosystèmes en utilisant la métagénomique et d’autres outils de génomique. ,BG-03,Mettre au point des outils de métagénomique qui peuvent détecter les changements de la composition des populations de microorganismes et servir à surveiller la dégradation ou la remise en état des écosystèmes aquatiques.
Biotech & Génomique,Produits biotechnologiques nouveaux en soutien à l'évaluation des risques,Évaluation des répercussions possibles sur les écosystèmes des animaux aquatiques transgéniques.,BG-04,Évaluer les facteurs écosystémiques susceptibles d’influer sur la capacité concurrentielle des animaux aquatiques à caractères nouveaux. Comparer la capacité de reproduction des poissons transgéniques à celle des poissons sauvages élevés dans des environnements naturalisés et simples.
Biotech & Génomique,Produits biotechnologiques nouveaux en soutien à l'évaluation des risques,Évaluation des répercussions possibles sur les écosystèmes des animaux aquatiques transgéniques.,BG-04,Évaluer les répercussions possibles sur les écosystèmes résultant de lâchers involontaires d’animaux aquatiques à caractères nouveaux dans divers environnements. Introduire des organismes à caractères nouveaux dans des environnements expérimentaux confinés et naturalisés.
Biotech & Génomique,Produits biotechnologiques nouveaux en soutien à l'évaluation des risques,Évaluation des répercussions possibles sur les écosystèmes des animaux aquatiques transgéniques.,BG-04,Générer des connaissances pour mieux comprendre la nature des écosystèmes les plus susceptibles d’être touchés par les animaux aquatiques à caractères nouveaux.
Biotech & Génomique,Produits biotechnologiques nouveaux en soutien à l'évaluation des risques,Évaluation des répercussions possibles sur les écosystèmes des animaux aquatiques transgéniques.,BG-04,Générer des connaissances pour permettre l’évaluation des répercussions potentielles sur les écosystèmes résultant de l’introduction massive d’animaux aquatiques à caractères nouveaux dans divers environnements. Les expériences continuent d’examiner les phénotypes de poissons à caractères nouveaux et de poissons de type sauvage dans les mésocosmes et les écoruisseaux du Centre d’entreprise scientifique du Pacifique.
Biotech & Génomique,Produits biotechnologiques nouveaux en soutien à l'évaluation des risques,Efficacité des mesures visant à prévenir les interactions entre les souches sauvages et les souches nouvelles (stratégies de confinement).,BG-05,Mettre au point et évaluer des méthodes de confinement biologique pour stériliser les organismes à caractères nouveaux afin d’empêcher leur établissement dans la nature et prévenir les interactions génétiques avec leurs homologues sauvages.
Biotech & Génomique,Produits biotechnologiques nouveaux en soutien à l'évaluation des risques,Efficacité des mesures visant à prévenir les interactions entre les souches sauvages et les souches nouvelles (stratégies de confinement).,BG-05,"Évaluer les stratégies d’atténuation pour limiter ou prévenir les interactions entre les animaux aquatiques sauvages et ceux à caractères nouveaux. Après le développement, l’efficacité du confinement est évaluée pour déterminer s’il convient de prévenir l’interaction des organismes à caractères nouveaux et si les méthodes sont d’une utilité pratique en dehors du laboratoire. Les données issues de ces priorités de recherche faciliteront l’évaluation des organismes déclarés destinés au confinement biologique."
Biotech & Génomique,Produits biotechnologiques nouveaux en soutien à l'évaluation des risques,"Favoriser des travaux scientifiques d’évaluation des risques par la définition, la mise au point et l’évaluation de modèles appropriés d’animaux aquatiques à caractères nouveaux.",BG-06,Mener et mettre à jour la recherche prospective sur les poissons transgéniques nouveaux et émergents ainsi que sur les nouvelles technologies (surveillance des médias et des publications scientifiques). Activité conduite depuis RCN avec l’aide du Centre d’entreprise scientifique du Pacifique – guide la planification de la recherche et les activités d’évaluation des risques ou les travaux préparatoires.
Biotech & Génomique,Produits biotechnologiques nouveaux en soutien à l'évaluation des risques,"Favoriser des travaux scientifiques d’évaluation des risques par la définition, la mise au point et l’évaluation de modèles appropriés d’animaux aquatiques à caractères nouveaux.",BG-06,"Mettre au point et maintenir des souches transgéniques confinées d’animaux aquatiques pour éclairer l’élaboration de règlements : en cours. En plus du maintien des stocks d’animaux vivants, certaines souches et espèces nouvelles sont désormais préservées par cryoconservation à des fins d’archivage et de recherche future au fur et à mesure des développements technologiques. Ces souches sont essentielles pour éclairer les évaluations de la Loi canadienne sur la protection de l’environnement."
Biotech & Génomique,Produits biotechnologiques nouveaux en soutien à l'évaluation des risques,"Favoriser des travaux scientifiques d’évaluation des risques par la définition, la mise au point et l’évaluation de modèles appropriés d’animaux aquatiques à caractères nouveaux.",BG-06,"Évaluer les paramètres environnementaux nécessaires à la croissance, à la survie et à l’hivernage des poissons à caractères nouveaux, en particulier ceux qui ne sont pas indigènes au Canada, afin de déterminer le potentiel d’invasion pour éclairer les évaluations de la Loi canadienne sur la protection de l’environnement."
Biotech & Génomique,Produits biotechnologiques nouveaux en soutien à l'évaluation des risques,"Favoriser des travaux scientifiques d’évaluation des risques par la définition, la mise au point et l’évaluation de modèles appropriés d’animaux aquatiques à caractères nouveaux.",BG-06,Évaluer les nouvelles technologiques comme les technologies de manipulation génétique (p. ex. CRISPR) pour déterminer les efforts hors cible et la résilience du changement génétique.
Biotech & Génomique,Produits biotechnologiques nouveaux en soutien à l'évaluation des risques,"Favoriser des travaux scientifiques d’évaluation des risques par la définition, la mise au point et l’évaluation de modèles appropriés d’animaux aquatiques à caractères nouveaux.",BG-06,"Utiliser des espèces et des souches d’animaux aquatiques domestiqués et envahissants comme substituts, évaluer les menaces potentielles des poissons transgéniques pour les écosystèmes canadiens."
Biotech & Génomique,Produits biotechnologiques nouveaux en soutien à l'évaluation des risques,Soutien à l’élaboration de méthodes d’évaluation des risques ainsi qu’à la conception et à la mise en œuvre de règlements pour les organismes aquatiques à caractères nouveaux.,BG-07,Évaluation des répercussions sur les écosystèmes et de la valeur adaptative des animaux aquatiques transgéniques à l’aide de la modélisation des écosystèmes et des mésocosmes.
Biotech & Génomique,Produits biotechnologiques nouveaux en soutien à l'évaluation des risques,Soutien à l’élaboration de méthodes d’évaluation des risques ainsi qu’à la conception et à la mise en œuvre de règlements pour les organismes aquatiques à caractères nouveaux.,BG-07,"Évaluer les phénotypes particuliers de diverses souches d’animaux aquatiques à caractères nouveaux et domestiqués (comme substituts de poissons à caractères nouveaux) afin de mieux déterminer les principaux paramètres qui influent sur le risque environnemental. En cours, avec un accent sur les influences environnementales évaluées par les méthodes génomiques."
Changements climatiques et Océans,Effets du changement climatique sur la chimie des océans,"État et étendue des changements touchant la chimie aquatique, y compris l’acidification et l’hypoxie",CC-01,Activités de recherche visant à combler les lacunes dans les connaissances sur l’état actuel et l’étendue de l’acidification et de l’hypoxie des océans.
Changements climatiques et Océans,Effets du changement climatique sur la chimie des océans,"État et étendue des changements touchant la chimie aquatique, y compris l’acidification et l’hypoxie",CC-01,"Recherche visant à comprendre l’interaction de l’acidification et de l’hypoxie des océans avec d’autres facteurs de stress climatiques et les conditions aquatiques changeantes (p. ex. température, circulation océanique, apports en eau douce)."
Changements climatiques et Océans,"Développement de méthodes et modèles novateurs en soutien à l'analyse, le conseil et la prise de décision",Outils et approches de gestion,CC-02,"Élaboration de méthodes et de modèles novateurs pour appuyer l’analyse, les conseils et la prise de décisions (p. ex. produits de prévision des tsunamis, distribution/risque des espèces aquatiques envahissantes, interactions avec l’aquaculture, risques liés aux pêches, outils de gestion adaptative et planification des aires marines protégées)."
Changements climatiques et Océans,"Développement de méthodes et modèles novateurs en soutien à l'analyse, le conseil et la prise de décision",Outils et approches de gestion,CC-02,Élaboration d’outils de gestion adaptative des changements climatiques fondés sur des données probantes pour réduire la vulnérabilité et atténuer les risques. 
Changements climatiques et Océans,Sciences des océans et des eaux douces,Impacts des conditions aquatiques changeantes (eau de mer et eau douce),CC-03,Amélioration des données et de la compréhension de la façon dont les processus océanographiques dans l’Arctique sont importants pour déterminer l’état des écosystèmes aquatiques et leur évolution dans un climat qui change rapidement.
Changements climatiques et Océans,Sciences des océans et des eaux douces,Impacts des conditions aquatiques changeantes (eau de mer et eau douce),CC-03,"Recherche sur la façon dont les changements touchant les flux d’eau douce (p. ex. ruissellement d’eau douce, fonte des glaces) influeront sur la physique des écosystèmes côtiers (stratification, approvisionnement en éléments nutritifs et en oxygène, etc.)."
Changements climatiques et Océans,Sciences des océans et des eaux douces,Impacts des conditions aquatiques changeantes (eau de mer et eau douce),CC-03,"Recherche sur la façon dont le stockage de chaleur océanique résultant du réchauffement climatique se traduira à l’échelle régionale (plage de température, présence de glace de mer, etc.)."
Changements climatiques et Océans,Sciences des océans et des eaux douces,Impacts des conditions aquatiques changeantes (eau de mer et eau douce),CC-03,Recherche sur la façon dont les changements de circulation à grande échelle projetés se traduiront à l’échelle régionale pour les eaux côtières canadiennes.
Changements climatiques et Océans,Sciences des océans et des eaux douces,Impacts des conditions aquatiques changeantes (eau de mer et eau douce),CC-03,Recherche sur les mécanismes à l’origine des fluctuations de l’état des océans.
Changements climatiques et Océans,Sciences des océans et des eaux douces,Impacts des conditions aquatiques changeantes (eau de mer et eau douce),CC-03,"Recherche visant à comprendre les changements actuels et potentiels des conditions océaniques (en particulier l’océan Extrême-Arctique), car ils influencent la production primaire et les modèles, la distribution et l’abondance du plancton, des poissons, des invertébrés et des mammifères marins."
Changements climatiques et Océans,Sciences des océans et des eaux douces,Impacts des conditions aquatiques changeantes (eau de mer et eau douce),CC-03,Compréhension de la façon dont les processus physiques influent ou influeront sur la fréquence et l’intensité des vagues de chaleur aquatiques le long des côtes du Canada.
Changements climatiques et Océans,Modélisation du climat,Raffinement des modèles océaniques appliqués pour améliorer la prévision des conditions océaniques en fonction des changements climatiques,CC-04,"Activités de modélisation pour comprendre et prévoir l’état futur des eaux canadiennes, y compris les zones côtières."
Changements climatiques et Océans,Modélisation du climat,Raffinement des modèles océaniques appliqués pour améliorer la prévision des conditions océaniques en fonction des changements climatiques,CC-04,"Recherche visant à améliorer les modèles de glace, notamment par la réduction de l’échelle des modèles et l’amélioration de l’exactitude des prévisions, en incluant le mécanisme géophysique pertinent comme le mélange des marées, le ruissellement des rivières, les conditions limitrophes, etc."
Changements climatiques et Océans,Modélisation du climat,Raffinement des modèles océaniques appliqués pour améliorer la prévision des conditions océaniques en fonction des changements climatiques,CC-04,"Recherche pour comprendre et prévoir les effets des changements climatiques sur les espèces et les écosystèmes, ainsi que les effets de futurs scénarios climatiques et de gestion (qui fournissent des perspectives à long terme, p. ex. jusqu’en 2050) sur les résultats attendus des stocks, les producteurs primaires et les prédateurs de sommet dans certains écosystèmes.
"
Changements climatiques et Océans,Sciences des océans et des eaux douces,Impacts des conditions aquatiques changeantes (eau de mer et eau douce),CC-03,"Recherche sur les effets de l’acidification et de l’hypoxie sur les écosystèmes aquatiques et les pêches (taux de recrutement et de productivité), y compris les espèces clés comme le homard et le pétoncle."
Changements climatiques et Océans,Modélisation du climat,Raffinement des modèles océaniques appliqués pour améliorer la prévision des conditions océaniques en fonction des changements climatiques,CC-04,"Estimation de l’incidence de la perte de glace de mer dans le nord-ouest de l’Atlantique sur les mammifères marins qui se reproduisent dans la glace, la répartition des cétacés et l’abondance des espèces proies (comme le capelan) qui dépendent fortement des proies associées à la glace"
Changements climatiques et Océans,Modélisation du climat,Raffinement des modèles océaniques appliqués pour améliorer la prévision des conditions océaniques en fonction des changements climatiques,CC-04,Recherche visant à améliorer les projections des niveaux d’eau le long des côtes canadiennes. 
Changements climatiques et Océans,Vulnérabilité au changement climatique,"Vulnérabilité des pêches, des écosystèmes et des infrastructures côtières aux changements climatiques",CC-05,"Évaluation des risques associés aux changements prévus de la fréquence des conditions extrêmes (p. ex. vagues de chaleur marine, tempêtes) pour les écosystèmes aquatiques canadiens. "
Changements climatiques et Océans,Vulnérabilité au changement climatique,"Vulnérabilité des pêches, des écosystèmes et des infrastructures côtières aux changements climatiques",CC-05,Réalisation d’évaluations de la vulnérabilité des sites des ports pour petits bateaux du MPO aux conditions climatiques et aquatiques changeantes à l’aide de l’indice de vulnérabilité des infrastructures côtières et élaboration d’outils d’adaptation pour gérer les risques.
Changements climatiques et Océans,Modélisation du climat,Raffinement des modèles océaniques appliqués pour améliorer la prévision des conditions océaniques en fonction des changements climatiques,CC-04,"Amélioration des méthodes (modélisation) pour comprendre les répercussions de l’expansion, de la réduction et de la relocalisation de l’aire de répartition dictée par le climat et les invasions sur d’autres espèces et l’environnement."
Changements climatiques et Océans,Vulnérabilité au changement climatique,"Vulnérabilité des pêches, des écosystèmes et des infrastructures côtières aux changements climatiques",CC-05,Détermination des risques liés aux changements climatiques pour les infrastructures côtières afin de faciliter la priorisation des investissements.
Changements climatiques et Océans,Vulnérabilité au changement climatique,"Vulnérabilité des pêches, des écosystèmes et des infrastructures côtières aux changements climatiques",CC-05,Intégration des facteurs cumulatifs liés aux écosystèmes et aux changements climatiques dans les cadres d’évaluation pour éclairer la prise de décisions 
Changements climatiques et Océans,Vulnérabilité au changement climatique,"Vulnérabilité des pêches, des écosystèmes et des infrastructures côtières aux changements climatiques",CC-05,Recherche visant à combler les lacunes en matière de connaissances associées aux effets des changements climatiques et à la vulnérabilité des pêches et des écosystèmes côtiers (p. ex. quelles espèces de poissons ou quels stocks sont les plus vulnérables).
Changements climatiques et Océans,Vulnérabilité au changement climatique,"Vulnérabilité des pêches, des écosystèmes et des infrastructures côtières aux changements climatiques",CC-05,"Recherche visant à cerner et à combler les lacunes en matière de connaissances, les risques et la vulnérabilité associés aux impacts des changements climatiques sur l’infrastructure côtière du MPO."
Changements climatiques et Océans,Vulnérabilité au changement climatique,"Vulnérabilité des pêches, des écosystèmes et des infrastructures côtières aux changements climatiques",CC-05,"Données scientifiques sur les effets de la chimie aquatique changeante (p. ex. acidification) sur le comportement, le développement et la survie d’espèces importantes et la biodiversité (p. ex. effectuer des évaluations de la vulnérabilité des espèces aux effets de l’acidification), y compris les effets sur les espèces d’intérêt commun, particulièrement aux États-Unis."
Sciences halieutiques,"Développement de méthodes et modèles novateurs en soutien à l'analyse, le conseil et la prise de décision en science halieutique",Outils et approches de gestion,FS-01,"Améliorer ou élaborer des outils et des méthodes.
Élaborer des méthodes et modèles novateurs pour appuyer l’analyse, la formulation d’avis et la prise de décisions (p. ex. produits de prévision des tsunamis, répartition et risques des espèces aquatiques envahissantes, interactions avec l’aquaculture, risques liés aux pêches et planification des zones de protection marine). (Les sujets de recherche à étudier devront être précisés.)
"
Sciences halieutiques,Approche écosystémique dans la gestion des pêches,Élaboration et mise en œuvre de l’approche de précaution,FS-02,"Relever, caractériser, communiquer et réduire les principales incertitudes (et les facteurs) qui influent sur les avis scientifiques portant sur les principaux stocks de poissons (erreurs d’observation, de traitement, de modèle, d’estimation et de mise en œuvre). 
Comprend la surveillance des prises, l’intégration des variables de l’écosystème, les changements climatiques, la « biologie du poisson et les conditions du milieu qui touchent les stocks », des facteurs comme la perte ou la dégradation de l’habitat qui entraînent une baisse des stocks, la collecte de nouvelles données et les considérations « in silico » (p. ex. outils de simulation).
"
Sciences halieutiques,Approche écosystémique dans la gestion des pêches,Élaboration et mise en œuvre de l’approche de précaution,FS-02,"Methods for evaluating the effectiveness of existing or proposed management measures to maintain or rebuild major fish stocks to levels necessary to promote sustainability (or above the limit reference point), to to manage emerging fisheries. 
Includes qualitative and quantitative input and output controls (inside or outside of HCRs), and both retrospective and prospective evaluation methods,  consideration of spatially complex stocks, and shifting distributions, data-poor stocks, novel data collection and “in silico” considerations (e.g., modelling and simulations)."
Sciences halieutiques,Approche écosystémique dans la gestion des pêches,Effets des variables environnementales sur les stocks de poissons,FS-03,"Déterminer l’effet des variables environnementales (c.-à-d. facteurs climatiques, océanographiques et écosystémiques) sur les stocks de poissons évalués par le MPO.
Élaborer et mettre à l’essai des approches analytiques qui faciliteront l’intégration des VE aux évaluations des stocks et aux avis scientifiques.
"
Sciences halieutiques,Approche écosystémique dans la gestion des pêches,Effets des variables environnementales sur les stocks de poissons,FS-03,"Soutien des sciences au développement et à l'intégration de l'approches écosystémique dans la gestion des pêches
i) Compréhension de la dynamique des stocks commerciaux  en lien avec les facteurs environnementaux, les écosystèmes et les autres espèces halieutiques; impacts sur la productivité des stocks, la distribution et les patrons migratoires des espèces (ex.: chnagement climatique, variation des températures du milieu aquatique, hypoxie; disponibilité des proies, etc; 
ii) Impact des changements climatiques sur la productivité, la distribution et les patrons migratoires des espèces;
iii) Quantification de l'impact de la prédation sur les principaux stocks d'espèces fourragères (capelan, hareng, maquereau, crevette); 
iv) intégration des résultats dans le processus d'évaluation de l'état des ressources marines."
Sciences halieutiques,Approche écosystémique dans la gestion des pêches,Effets des variables environnementales sur les stocks de poissons,FS-03,"Améliorer la compréhension des interactions trophiques entre les prédateurs et les principales espèces-proies pour les espèces de valeur commerciale, récréative ou culturelle (p. ex. taux de consommation du saumon par les pinnipèdes).
"
Sciences halieutiques,Approche écosystémique dans la gestion des pêches,Effets des variables environnementales sur les stocks de poissons,FS-03,"Intégration des interactions entre les espèces et les conséquences ou répercussions de ces interactions (p. ex. prédation, concurrence, pénurie de nourriture) dans les analyses et les modèles utilisés pour fournir des avis sur les stocks et les écosystèmes, y compris les échanges potentiels entre les stocks en interaction."
Sciences halieutiques,Approche écosystémique dans la gestion des pêches,Effets des variables environnementales sur les stocks de poissons,FS-03,"Dynamique prédateur-proie et interdépendances entre les espèces : 
a) principales espèces fourragères commerciales;
b) interactions entre les mammifères marins et leurs proies.                         
                                                      "
Sciences halieutiques,Approche écosystémique dans la gestion des pêches,Effets des variables environnementales sur les stocks de poissons,FS-03,"Projection des répercussions des changements climatiques sur l’environnement et les écosystèmes à l’appui de la gestion adaptative : 
a. répartition des espèces indigènes;
b. expansions des aires de répartition des espèces boréales.
"
Sciences halieutiques,Approche écosystémique dans la gestion des pêches,Effets des variables environnementales sur les stocks de poissons,FS-03,"Compréhension et projection des répercussions des changements climatiques sur l’environnement et les écosystèmes à l’appui de la gestion adaptative : 
a. changements dans la productivité marine;
b. dynamique des populations des stocks de poissons prioritaires.
"
Sciences halieutiques,Approche écosystémique dans la gestion des pêches,Effets des variables environnementales sur les stocks de poissons,FS-03,Comprendre les effets de la dynamique des écosystèmes sur les principaux stocks et intégrer les considérations relatives aux écosystèmes et aux changements climatiques aux cadres d’évaluation des stocks.
